2025-12-18T16:03:00+00:00
Running ./bin/bench_beap
Run on (16 X 3992.5 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 16384 KiB (x1)
Load Average: 0.17, 0.26, 0.12
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Baseline/256",88825485,7.70408,7.77483,ns,,,,,
"BM_Baseline/1024",20309852,30.8864,31.192,ns,,,,,
"BM_Baseline/4096",45984102,14.6183,14.7582,ns,,,,,
"BM_Baseline/16384",46874508,14.4409,14.5848,ns,,,,,
"BM_Baseline/65536",45969792,14.6991,14.8436,ns,,,,,
"BM_Baseline/262144",46483761,14.7072,14.8527,ns,,,,,
"BM_Baseline/1048576",47150264,14.5644,14.7077,ns,,,,,
"BM_PushRandom/256",266573,2701.07,2727.71,ns,,9.38515e+07,,,
"BM_PushRandom/512",91846,7715.12,7791.76,ns,,6.57104e+07,,,
"BM_PushRandom/1024",34594,20197.8,20336.4,ns,,5.0353e+07,,,
"BM_PushRandom/2048",11862,53389.4,53333.1,ns,,3.84002e+07,,,
"BM_PushRandom/4096",2464,281175,280887,ns,,1.45824e+07,,,
"BM_PushRandom/8192",784,818907,818065,ns,,1.00139e+07,,,
"BM_PushRandom/16384",299,2.30913e+06,2.30672e+06,ns,,7.10271e+06,,,
"BM_PushRandom/32768",100,6.49325e+06,6.48658e+06,ns,,5.05166e+06,,,
"BM_PushRandom/65536",38,1.76636e+07,1.7645e+07,ns,,3.71414e+06,,,
"BM_PushRandom/131072",13,4.98697e+07,4.98186e+07,ns,,2.63098e+06,,,
"BM_PushRandom/262144",5,1.43915e+08,1.43768e+08,ns,,1.82338e+06,,,
"BM_PushRandom/524288",2,4.22935e+08,4.22498e+08,ns,,1.24092e+06,,,
"BM_PushRandom/1048576",1,1.1768e+09,1.26342e+09,ns,,829948,,,
"BM_PushSortedAsc/256",746340,819.21,893.678,ns,,2.86457e+08,,,
"BM_PushSortedAsc/512",378304,1693.52,1847.46,ns,,2.77138e+08,,,
"BM_PushSortedAsc/1024",184481,3491.7,3808.96,ns,,2.6884e+08,,,
"BM_PushSortedAsc/2048",87109,6918.03,7546.86,ns,,2.71371e+08,,,
"BM_PushSortedAsc/4096",45175,13872.5,15133.7,ns,,2.70654e+08,,,
"BM_PushSortedAsc/8192",23296,28556.4,30172,ns,,2.7151e+08,,,
"BM_PushSortedAsc/16384",11140,59874.4,59873.9,ns,,2.73642e+08,,,
"BM_PushSortedAsc/32768",5750,119727,119723,ns,,2.73698e+08,,,
"BM_PushSortedAsc/65536",2939,235197,236177,ns,,2.77487e+08,,,
"BM_PushSortedAsc/131072",1485,477131,479839,ns,,2.73158e+08,,,
"BM_PushSortedAsc/262144",738,930184,935461,ns,,2.8023e+08,,,
"BM_PushSortedAsc/524288",369,1.87499e+06,1.88562e+06,ns,,2.78045e+08,,,
"BM_PushSortedAsc/1048576",187,3.70676e+06,3.72778e+06,ns,,2.81287e+08,,,
"BM_PushSortedDesc/256",119920,5308.96,5339.09,ns,,4.79482e+07,,,
"BM_PushSortedDesc/512",43222,15616.8,15705.2,ns,,3.26006e+07,,,
"BM_PushSortedDesc/1024",15260,45713.2,45970.3,ns,,2.22753e+07,,,
"BM_PushSortedDesc/2048",5017,129855,131228,ns,,1.56064e+07,,,
"BM_PushSortedDesc/4096",1881,372366,376963,ns,,1.08658e+07,,,
"BM_PushSortedDesc/8192",629,1.02701e+06,1.03966e+06,ns,,7.87948e+06,,,
"BM_PushSortedDesc/16384",250,2.72917e+06,2.76282e+06,ns,,5.93018e+06,,,
"BM_PushSortedDesc/32768",82,7.61232e+06,7.70602e+06,ns,,4.25226e+06,,,
"BM_PushSortedDesc/65536",32,2.15325e+07,2.17985e+07,ns,,3.00645e+06,,,
"BM_PushSortedDesc/131072",10,5.97109e+07,6.04473e+07,ns,,2.16837e+06,,,
"BM_PushSortedDesc/262144",4,1.74277e+08,1.76426e+08,ns,,1.48585e+06,,,
"BM_PushSortedDesc/524288",1,5.08996e+08,5.13528e+08,ns,,1.02095e+06,,,
"BM_PushSortedDesc/1048576",1,1.48772e+09,1.49914e+09,ns,,699451,,,
"BM_Pop/256",122017,5299.09,5394.15,ns,,4.74588e+07,,,
"BM_Pop/512",49947,13544.8,13771,ns,,3.71797e+07,,,
