name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Baseline/256",568311593,1.05604,1.05974,ns,,,,,
"BM_Baseline/1024",651007699,1.05879,1.06257,ns,,,,,
"BM_Baseline/4096",648432732,1.0766,1.0805,ns,,,,,
"BM_Baseline/16384",638166939,1.03259,1.03638,ns,,,,,
"BM_Baseline/65536",652430138,1.01534,1.01911,ns,,,,,
"BM_Baseline/262144",626962213,1.03492,1.03879,ns,,,,,
"BM_Baseline/1048576",643556285,1.03007,1.03392,ns,,,,,
"BM_PushRandom/256",104630,6259.75,6283.58,ns,,4.07411e+07,,,
"BM_PushRandom/512",51387,13528.4,13580,ns,,3.77026e+07,,,
"BM_PushRandom/1024",22737,31961.7,31721,ns,,3.22814e+07,,,
"BM_PushRandom/2048",9209,74821.6,74337.5,ns,,2.755e+07,,,
"BM_PushRandom/4096",3889,225774,224586,ns,,1.8238e+07,,,
"BM_PushRandom/8192",1028,682370,679459,ns,,1.20567e+07,,,
"BM_PushRandom/16384",438,1.61995e+06,1.61443e+06,ns,,1.01485e+07,,,
"BM_PushRandom/32768",171,3.87381e+06,3.86476e+06,ns,,8.47866e+06,,,
"BM_PushRandom/65536",75,9.13594e+06,9.11946e+06,ns,,7.18639e+06,,,
"BM_PushRandom/131072",25,2.5308e+07,2.52797e+07,ns,,5.18486e+06,,,
"BM_PushRandom/262144",7,7.15193e+07,7.14804e+07,ns,,3.66735e+06,,,
"BM_PushRandom/524288",4,1.78655e+08,1.78659e+08,ns,,2.93457e+06,,,
"BM_PushRandom/1048576",2,4.36026e+08,4.36239e+08,ns,,2.40367e+06,,,
"BM_PushSortedAsc/256",91977,7227.78,7234.81,ns,,3.53845e+07,,,
"BM_PushSortedAsc/512",43225,15475.7,15486.5,ns,,3.3061e+07,,,
"BM_PushSortedAsc/1024",19482,34325.2,34382.6,ns,,2.97825e+07,,,
"BM_PushSortedAsc/2048",8611,81390.6,81543.1,ns,,2.51155e+07,,,
"BM_PushSortedAsc/4096",3913,181071,181451,ns,,2.25736e+07,,,
"BM_PushSortedAsc/8192",1693,416942,417986,ns,,1.95987e+07,,,
"BM_PushSortedAsc/16384",591,1.14056e+06,1.14399e+06,ns,,1.43218e+07,,,
"BM_PushSortedAsc/32768",261,2.75428e+06,2.76304e+06,ns,,1.18594e+07,,,
"BM_PushSortedAsc/65536",109,6.512e+06,6.51728e+06,ns,,1.00557e+07,,,
"BM_PushSortedAsc/131072",49,1.41678e+07,1.42163e+07,ns,,9.21982e+06,,,
