name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Construct/256",74974288,8.75767,9.18273,ns,,,,,
"BM_Construct/1024",27020250,24.6833,25.8816,ns,,,,,
"BM_Construct/4096",28389083,23.5528,24.6965,ns,,,,,
"BM_Construct/16384",44995661,14.8993,15.624,ns,,,,,
"BM_Construct/65536",43898121,15.2647,16.0068,ns,,,,,
"BM_Construct/262144",42731050,15.4053,16.1544,ns,,,,,
"BM_Construct/1048576",43908069,15.2285,15.969,ns,,,,,
"BM_PushRandom/256",945355,702.23,736.393,ns,,3.4764e+08,,,
"BM_PushRandom/512",448838,1406.67,1475.04,ns,,3.47109e+08,,,
"BM_PushRandom/1024",240174,2777.12,2912.22,ns,,3.51622e+08,,,
"BM_PushRandom/2048",118140,5570.62,5841.43,ns,,3.50599e+08,,,
"BM_PushRandom/4096",60629,11040.9,11577.9,ns,,3.53778e+08,,,
"BM_PushRandom/8192",30121,22489.7,23585.8,ns,,3.47328e+08,,,
"BM_PushRandom/16384",14883,45120.7,47391,ns,,3.45719e+08,,,
"BM_PushRandom/32768",3157,210721,221315,ns,,1.4806e+08,,,
"BM_PushRandom/65536",1246,525210,551621,ns,,1.18806e+08,,,
"BM_PushRandom/131072",592,1.12465e+06,1.18122e+06,ns,,1.10964e+08,,,
"BM_PushRandom/262144",295,2.27539e+06,2.38989e+06,ns,,1.09689e+08,,,
"BM_PushRandom/524288",147,4.52998e+06,4.75775e+06,ns,,1.10197e+08,,,
"BM_PushRandom/1048576",72,9.16333e+06,9.62431e+06,ns,,1.08951e+08,,,
"BM_PushSortedAsc/256",623698,1060.75,1114.11,ns,,2.2978e+08,,,
"BM_PushSortedAsc/512",275678,2429.42,2551.21,ns,,2.00689e+08,,,
"BM_PushSortedAsc/1024",126455,5186.1,5444.69,ns,,1.88073e+08,,,
"BM_PushSortedAsc/2048",57899,11478.4,12050.7,ns,,1.69949e+08,,,
"BM_PushSortedAsc/4096",26941,24979.5,26224.2,ns,,1.56192e+08,,,
"BM_PushSortedAsc/8192",12424,53515.7,56183,ns,,1.45809e+08,,,
"BM_PushSortedAsc/16384",5794,114773,120495,ns,,1.35972e+08,,,
"BM_PushSortedAsc/32768",2693,247598,259944,ns,,1.26058e+08,,,
"BM_PushSortedAsc/65536",1267,526759,553014,ns,,1.18507e+08,,,
"BM_PushSortedAsc/131072",586,1.14606e+06,1.20319e+06,ns,,1.08937e+08,,,
"BM_PushSortedAsc/262144",270,2.46997e+06,2.59303e+06,ns,,1.01096e+08,,,
"BM_PushSortedAsc/524288",121,5.48393e+06,5.75194e+06,ns,,9.11498e+07,,,
"BM_PushSortedAsc/1048576",52,1.24784e+07,1.30831e+07,ns,,8.01471e+07,,,
"BM_PushSortedDesc/256",1044699,637.379,668.311,ns,,3.83055e+08,,,
"BM_PushSortedDesc/512",508514,1320.94,1383.83,ns,,3.69987e+08,,,
"BM_PushSortedDesc/1024",261739,2553.77,2677.64,ns,,3.82426e+08,,,
"BM_PushSortedDesc/2048",130724,5085.67,5332.49,ns,,3.84061e+08,,,
"BM_PushSortedDesc/4096",65690,10215.3,10710.6,ns,,3.82426e+08,,,
"BM_PushSortedDesc/8192",33034,20284.7,21269.2,ns,,3.85159e+08,,,
"BM_PushSortedDesc/16384",16447,40854.1,42834.5,ns,,3.82496e+08,,,
"BM_PushSortedDesc/32768",8195,81094.9,85191.6,ns,,3.84639e+08,,,
"BM_PushSortedDesc/65536",4087,161537,170307,ns,,3.84811e+08,,,
"BM_PushSortedDesc/131072",2038,324836,342487,ns,,3.82707e+08,,,
"BM_PushSortedDesc/262144",1020,650324,685644,ns,,3.82333e+08,,,
"BM_PushSortedDesc/524288",512,1.30434e+06,1.37514e+06,ns,,3.81261e+08,,,
"BM_PushSortedDesc/1048576",254,2.61736e+06,2.75953e+06,ns,,3.79984e+08,,,
"BM_Pop/256",322020,1984.95,2093.47,ns,,1.22285e+08,,,
"BM_Pop/512",168715,3961.08,4179.01,ns,,1.22517e+08,,,
"BM_Pop/1024",82759,7833.86,8336.1,ns,,1.22839e+08,,,
"BM_Pop/2048",39768,16155.8,17188.5,ns,,1.19149e+08,,,
"BM_Pop/4096",18656,35501.8,37777.2,ns,,1.08425e+08,,,
"BM_Pop/8192",2470,261952,278817,ns,,2.93813e+07,,,
"BM_Pop/16384",1056,621233,661335,ns,,2.47741e+07,,,
"BM_Pop/32768",489,1.34044e+06,1.42674e+06,ns,,2.2967e+07,,,
"BM_Pop/65536",226,2.91351e+06,3.10105e+06,ns,,2.11335e+07,,,
"BM_Pop/131072",105,6.27603e+06,6.58587e+06,ns,,1.9902e+07,,,
"BM_Pop/262144",49,1.36608e+07,1.43133e+07,ns,,1.83147e+07,,,
"BM_Pop/524288",22,2.98005e+07,3.12243e+07,ns,,1.6791e+07,,,
"BM_Pop/1048576",10,6.58307e+07,6.89744e+07,ns,,1.52024e+07,,,
