op,size,cpu_time,cpu_time_2removedInsertRecursion,cpu_time_3ss
Construct,256.0,8.43815,8.77278,29.5023
Construct,1024.0,26.5296,26.5215,91.715
Construct,4096.0,26.6673,26.0263,82.5645
Construct,16384.0,16.859,16.6474,60.9153
Construct,65536.0,15.9987,15.9015,59.2757
Construct,262144.0,16.164,15.9953,59.5699
Construct,1048576.0,15.9951,15.859,59.3703
PushRandom,256.0,8954.06,8403.83,22241.7
PushRandom,512.0,22978.4,22480.9,69060.5
PushRandom,1024.0,47612.1,58037.8,171648.0
PushRandom,2048.0,158157.0,180111.0,432759.0
PushRandom,4096.0,381962.0,526728.0,1017390.0
PushRandom,8192.0,889506.0,1338850.0,2395480.0
PushRandom,16384.0,2075060.0,3452300.0,5769860.0
PushRandom,32768.0,4751980.0,8447200.0,13661100.0
PushRandom,65536.0,10859000.0,20870300.0,32198800.0
PushRandom,131072.0,24280200.0,50345000.0,75280200.0
PushRandom,262144.0,56528100.0,121285000.0,177268000.0
PushRandom,524288.0,126447000.0,297408000.0,415745000.0
PushRandom,1048576.0,282559000.0,709462000.0,977541000.0
PushSortedAsc,256.0,7464.53,8402.79,16500.3
PushSortedAsc,512.0,15617.9,22445.7,42476.1
PushSortedAsc,1024.0,35949.6,57645.6,115082.0
PushSortedAsc,2048.0,81088.9,190184.0,248252.0
PushSortedAsc,4096.0,197262.0,520038.0,560336.0
PushSortedAsc,8192.0,507300.0,1343440.0,1347310.0
PushSortedAsc,16384.0,1086020.0,3467890.0,3026330.0
PushSortedAsc,32768.0,2361020.0,8502070.0,6569390.0
PushSortedAsc,65536.0,5189170.0,20733300.0,14948000.0
PushSortedAsc,131072.0,11073700.0,50416300.0,33916000.0
PushSortedAsc,262144.0,24238300.0,122660000.0,76878600.0
PushSortedAsc,524288.0,50185300.0,292683000.0,176185000.0
PushSortedAsc,1048576.0,110813000.0,712955000.0,406807000.0
PushSortedDesc,256.0,12792.0,8364.58,37795.7
PushSortedDesc,512.0,34375.7,22365.0,114750.0
PushSortedDesc,1024.0,90471.6,57983.5,296318.0
PushSortedDesc,2048.0,250088.0,177923.0,798084.0
PushSortedDesc,4096.0,727622.0,525486.0,2028030.0
PushSortedDesc,8192.0,1839080.0,1379170.0,5223720.0
PushSortedDesc,16384.0,4700030.0,3429330.0,13375700.0
PushSortedDesc,32768.0,11333300.0,8444300.0,33447900.0
PushSortedDesc,65536.0,27583900.0,20634200.0,83766300.0
PushSortedDesc,131072.0,66075800.0,50762600.0,209010000.0
PushSortedDesc,262144.0,159568000.0,121251000.0,516196000.0
PushSortedDesc,524288.0,392811000.0,294182000.0,1276980000.0
PushSortedDesc,1048576.0,912800000.0,714990000.0,3142690000.0
Extract,256.0,7504.23,6452.2,34727.5
Extract,512.0,19220.8,17837.0,98776.1
Extract,1024.0,51511.8,45793.6,263468.0
Extract,2048.0,181698.0,123525.0,676866.0
Extract,4096.0,470441.0,334726.0,1740040.0
Extract,8192.0,1195890.0,853050.0,4518910.0
Extract,16384.0,2987700.0,2235310.0,11621000.0
Extract,32768.0,7637530.0,5718490.0,29664100.0
Extract,65536.0,20116300.0,14584000.0,75117000.0
Extract,131072.0,49429600.0,37412700.0,188159000.0
Extract,262144.0,126634000.0,93175300.0,469291000.0
Extract,524288.0,316811000.0,237366000.0,1168050000.0
Extract,1048576.0,788464000.0,574952000.0,2885690000.0
Search,256.0,2494.52,3105.85,1002820.0
Search,512.0,3947.5,3953.8,3491200.0
Search,1024.0,11745.3,16797.3,22889700.0
Search,2048.0,31416.0,24130.9,80291100.0
Search,4096.0,69231.8,63903.2,305014000.0
Search,8192.0,172016.0,233010.0,1783330000.0
Search,16384.0,338908.0,439467.0,6399490000.0
Search,32768.0,623195.0,747094.0,25614600000.0
Search,65536.0,1256650.0,1647760.0,104417000000.0
Search,131072.0,2548530.0,4261920.0,457517000000.0
Search,262144.0,5664970.0,9049790.0,1979530000000.0
Search,524288.0,9066040.0,13795100.0,
Search,1048576.0,14999900.0,35433900.0,
