op,size,cpu_time_2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
Construct,256.0,7.17991,mean,9.26704,8.28619
Construct,256.0,7.14938,median,8.41487,8.17678
Construct,256.0,0.0997625,stddev,8.39768,0.395317
Construct,256.0,0.0138947,cv,8.45782,0.0477079
Construct,256.0,7.29464,p90,8.20477,8.53874
Construct,256.0,7.30992,p95,8.14878,8.90289
Construct,256.0,7.32214,p99,8.06544,9.19421
Construct,1024.0,26.7411,mean,8.04548,27.7314
Construct,1024.0,26.6906,median,7.93582,27.7001
Construct,1024.0,0.644792,stddev,7.92421,0.702941
Construct,1024.0,0.0241124,cv,8.28619,0.0253482
Construct,1024.0,27.404,p90,8.17678,28.5348
Construct,1024.0,27.6166,p95,0.395317,28.7256
Construct,1024.0,27.7867,p99,0.0477079,28.8783
Construct,4096.0,27.2279,mean,8.53874,28.2916
Construct,4096.0,27.6642,median,8.90289,30.2015
Construct,4096.0,3.49836,stddev,9.19421,4.31965
Construct,4096.0,0.128484,cv,28.2085,0.152683
Construct,4096.0,29.6342,p90,28.9165,31.4101
Construct,4096.0,29.7125,p95,28.4924,31.6905
Construct,4096.0,29.7751,p99,26.9083,31.9149
Construct,16384.0,17.8919,mean,26.9249,17.1448
Construct,16384.0,17.8514,median,28.1292,17.0758
Construct,16384.0,0.413148,stddev,27.4678,0.302523
Construct,16384.0,0.0230914,cv,27.127,0.0176452
Construct,16384.0,18.3399,p90,27.2074,17.4458
Construct,16384.0,18.4528,p95,27.9324,17.6022
Construct,16384.0,18.5431,p99,27.7314,17.7274
Construct,65536.0,16.035,mean,27.7001,16.0538
Construct,65536.0,15.9768,median,0.702941,15.9311
Construct,65536.0,0.195935,stddev,0.0253482,0.270824
Construct,65536.0,0.0122192,cv,28.5348,0.0168698
Construct,65536.0,16.2335,p90,28.7256,16.3477
Construct,65536.0,16.3404,p95,28.8783,16.5067
Construct,65536.0,16.4259,p99,31.3478,16.6339
Construct,262144.0,15.8932,mean,31.9709,16.0789
Construct,262144.0,15.8918,median,28.1324,16.0357
Construct,262144.0,0.0715587,stddev,26.6918,0.164136
Construct,262144.0,0.00450246,cv,26.4347,0.0102081
Construct,262144.0,15.9278,p90,30.3802,16.2078
Construct,262144.0,16.0032,p95,30.1699,16.3483
Construct,262144.0,16.0636,p99,30.2331,16.4608
Construct,1048576.0,15.8862,mean,30.3579,17.1341
Construct,1048576.0,15.846,median,17.1968,17.2973
Construct,1048576.0,0.14644,stddev,28.2916,0.49775
Construct,1048576.0,0.00921808,cv,30.2015,0.0290503
Construct,1048576.0,16.0731,p90,4.31965,17.579
Construct,1048576.0,16.118,p95,0.152683,17.7915
Construct,1048576.0,16.1539,p99,31.4101,17.9614
PushRandom,256.0,3405.03,mean,31.6905,3607.29
PushRandom,256.0,3407.14,median,31.9149,3562.7
PushRandom,256.0,37.8816,stddev,17.1779,100.74
PushRandom,256.0,0.0111252,cv,17.411,0.0279268
PushRandom,256.0,3450.36,p90,17.7587,3700.03
PushRandom,256.0,3456.11,p95,17.3639,3764.61
PushRandom,256.0,3460.71,p99,17.252,3816.28
PushRandom,512.0,8395.7,mean,16.8583,8531.94
PushRandom,512.0,8433.83,median,16.8717,8469.81
PushRandom,512.0,178.778,stddev,16.8847,280.508
PushRandom,512.0,0.021294,cv,16.9737,0.0328773
PushRandom,512.0,8524.32,p90,16.8963,8865.33
PushRandom,512.0,8621.01,p95,17.1448,9007.82
PushRandom,512.0,8698.37,p99,17.0758,9121.82
PushRandom,1024.0,27829.0,mean,0.302523,28017.6
PushRandom,1024.0,27761.6,median,0.0176452,28061.2
PushRandom,1024.0,697.82,stddev,17.4458,699.391
PushRandom,1024.0,0.0250753,cv,17.6022,0.0249625
