op,size,cpu_time1withoutsqrOpt,stat,cpu_time_3withOpt,cpu_time_4nodebug
Construct,256.0,2963.36,mean,7041.49,6316.1
Construct,256.0,2962.94,median,7044.43,6320.35
Construct,256.0,6.63653,stddev,26.3135,21.3397
Construct,256.0,0.00223953,cv,0.00373693,0.00337862
Construct,256.0,2969.38,p90,7068.92,6336.4
Construct,256.0,2972.38,p95,7072.78,6337.45
Construct,256.0,2974.78,p99,7075.87,6338.29
Construct,1024.0,16685.6,mean,45088.8,40510.8
Construct,1024.0,16657.1,median,45113.8,40479.6
Construct,1024.0,84.9295,stddev,102.997,120.395
Construct,1024.0,0.00508999,cv,0.00228431,0.00297192
Construct,1024.0,16809.2,p90,45186.9,40671.0
Construct,1024.0,16834.6,p95,45198.5,40688.0
Construct,1024.0,16854.9,p99,45207.8,40701.6
Construct,4096.0,178896.0,mean,322509.0,275906.0
Construct,4096.0,178945.0,median,321278.0,275577.0
Construct,4096.0,868.701,stddev,16503.4,3469.34
Construct,4096.0,0.00485591,cv,0.051172,0.0125744
Construct,4096.0,179924.0,p90,340374.0,277955.0
Construct,4096.0,180013.0,p95,341324.0,281169.0
Construct,4096.0,180084.0,p99,342084.0,283741.0
Construct,16384.0,1400530.0,mean,2398390.0,2285950.0
Construct,16384.0,1404700.0,median,2400540.0,2277860.0
Construct,16384.0,19191.3,stddev,16914.6,26192.5
Construct,16384.0,0.0137029,cv,0.00705247,0.0114581
Construct,16384.0,1417630.0,p90,2412810.0,2314810.0
Construct,16384.0,1419270.0,p95,2418560.0,2320030.0
Construct,16384.0,1420570.0,p99,2423160.0,2324200.0
Construct,65536.0,10078200.0,mean,14828300.0,14373400.0
Construct,65536.0,10056500.0,median,14835500.0,14358700.0
Construct,65536.0,78455.9,stddev,76773.5,116909.0
Construct,65536.0,0.0077847,cv,0.0051775,0.00813369
Construct,65536.0,10174600.0,p90,14892800.0,14538000.0
Construct,65536.0,10202000.0,p95,14916700.0,14539100.0
Construct,65536.0,10224000.0,p99,14935900.0,14539900.0
Construct,262144.0,78160000.0,mean,95083900.0,90264700.0
Construct,262144.0,78258400.0,median,93571400.0,90359000.0
Construct,262144.0,567642.0,stddev,4988750.0,685810.0
Construct,262144.0,0.00726256,cv,0.0524668,0.00759777
Construct,262144.0,78760800.0,p90,95991200.0,91042400.0
Construct,262144.0,78902900.0,p95,102556000.0,91072500.0
Construct,262144.0,79016600.0,p99,107807000.0,91096500.0
Construct,1048576.0,650079000.0,mean,682514000.0,607797000.0
Construct,1048576.0,651752000.0,median,677815000.0,603687000.0
Construct,1048576.0,11261700.0,stddev,42050600.0,14281800.0
Construct,1048576.0,0.0173236,cv,0.0616114,0.0234977
Construct,1048576.0,660553000.0,p90,733570000.0,626807000.0
Construct,1048576.0,663407000.0,p95,741346000.0,631313000.0
Construct,1048576.0,665690000.0,p99,747567000.0,634918000.0
PushRandom,256.0,5982.55,mean,10908.4,9597.52
PushRandom,256.0,5979.95,median,10921.8,9601.4
PushRandom,256.0,26.5622,stddev,89.7303,22.4227
PushRandom,256.0,0.00443994,cv,0.00822577,0.00233631
PushRandom,256.0,6008.09,p90,10983.9,9622.99
PushRandom,256.0,6022.74,p95,11027.8,9625.6
PushRandom,256.0,6034.45,p99,11063.0,9627.69
PushRandom,512.0,13934.4,mean,26145.1,23340.7
PushRandom,512.0,13795.5,median,26064.5,23329.3
PushRandom,512.0,387.316,stddev,313.429,60.288
PushRandom,512.0,0.0277956,cv,0.0119881,0.00258295
PushRandom,512.0,14170.3,p90,26424.5,23417.4
PushRandom,512.0,14583.1,p95,26687.6,23438.6
PushRandom,512.0,14913.3,p99,26898.1,23455.6
PushRandom,1024.0,34923.7,mean,67230.3,63218.8
PushRandom,1024.0,34890.9,median,66857.2,63783.0
PushRandom,1024.0,244.838,stddev,1655.67,1467.48
PushRandom,1024.0,0.00701065,cv,0.0246269,0.0232127
PushRandom,1024.0,35092.3,p90,67613.5,64523.8
PushRandom,1024.0,35309.4,p95,69730.4,64589.6
PushRandom,1024.0,35483.1,p99,71423.9,64642.2
PushRandom,2048.0,92556.1,mean,170834.0,174187.0
PushRandom,2048.0,92284.7,median,170123.0,178485.0
PushRandom,2048.0,1302.44,stddev,3000.2,12262.9
PushRandom,2048.0,0.0140719,cv,0.0175621,0.0704007
PushRandom,2048.0,93904.9,p90,173762.0,186893.0
PushRandom,2048.0,94609.1,p95,175893.0,187321.0
PushRandom,2048.0,95172.5,p99,177598.0,187664.0
PushRandom,4096.0,328535.0,mean,482021.0,483682.0
PushRandom,4096.0,328592.0,median,481454.0,484005.0
PushRandom,4096.0,1192.73,stddev,3497.04,2146.37
PushRandom,4096.0,0.00363045,cv,0.00725496,0.00443756
PushRandom,4096.0,330042.0,p90,486399.0,485768.0
PushRandom,4096.0,330117.0,p95,487826.0,485885.0
PushRandom,4096.0,330177.0,p99,488967.0,485979.0
PushRandom,8192.0,877152.0,mean,1277560.0,1231550.0
PushRandom,8192.0,878400.0,median,1279160.0,1228490.0
PushRandom,8192.0,7796.89,stddev,7645.16,9893.21
PushRandom,8192.0,0.00888887,cv,0.00598419,0.00803313
PushRandom,8192.0,886590.0,p90,1285670.0,1247380.0
PushRandom,8192.0,886810.0,p95,1286240.0,1248720.0
PushRandom,8192.0,886985.0,p99,1286690.0,1249800.0
PushRandom,16384.0,2221220.0,mean,3116850.0,3038500.0
PushRandom,16384.0,2218300.0,median,3117370.0,3040540.0
PushRandom,16384.0,16758.9,stddev,8479.53,5577.5
PushRandom,16384.0,0.0075449,cv,0.00272055,0.00183561
PushRandom,16384.0,2241360.0,p90,3126240.0,3043270.0
PushRandom,16384.0,2243520.0,p95,3127540.0,3043720.0
