op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp
Construct,256.0,7.75417,mean,7.21966
Construct,256.0,7.70908,median,7.12507
Construct,256.0,0.118883,stddev,0.32597
Construct,256.0,0.0153315,cv,0.0451504
Construct,256.0,7.9671,p90,7.38913
Construct,256.0,7.96848,p95,7.73415
Construct,256.0,7.96958,p99,8.01017
Construct,1024.0,26.4965,mean,25.0765
Construct,1024.0,26.5308,median,24.8364
Construct,1024.0,0.457004,stddev,0.816983
Construct,1024.0,0.0172477,cv,0.0325797
Construct,1024.0,26.9985,p90,26.1517
Construct,1024.0,27.0374,p95,26.4627
Construct,1024.0,27.0685,p99,26.7116
Construct,4096.0,26.2715,mean,24.3562
Construct,4096.0,25.7398,median,25.5813
Construct,4096.0,3.67093,stddev,3.33039
Construct,4096.0,0.13973,cv,0.136737
Construct,4096.0,29.4958,p90,26.6129
Construct,4096.0,29.5,p95,26.7271
Construct,4096.0,29.5034,p99,26.8184
Construct,16384.0,17.6158,mean,15.9661
Construct,16384.0,17.5826,median,15.9058
Construct,16384.0,0.291357,stddev,0.168128
Construct,16384.0,0.0165395,cv,0.0105303
Construct,16384.0,17.7245,p90,16.1534
Construct,16384.0,18.0561,p95,16.2323
Construct,16384.0,18.3215,p99,16.2955
Construct,65536.0,17.8237,mean,15.152
Construct,65536.0,17.8024,median,15.1567
Construct,65536.0,0.254391,stddev,0.0692921
Construct,65536.0,0.0142727,cv,0.00457314
Construct,65536.0,18.0823,p90,15.2139
Construct,65536.0,18.1673,p95,15.2498
Construct,65536.0,18.2353,p99,15.2786
Construct,262144.0,17.0259,mean,15.1079
Construct,262144.0,16.9678,median,15.1133
Construct,262144.0,0.369727,stddev,0.0654391
Construct,262144.0,0.0217156,cv,0.00433143
Construct,262144.0,17.5294,p90,15.1848
Construct,262144.0,17.5656,p95,15.205
Construct,262144.0,17.5946,p99,15.2213
Construct,1048576.0,16.4897,mean,15.0557
Construct,1048576.0,16.4784,median,15.0468
Construct,1048576.0,0.187278,stddev,0.0821495
Construct,1048576.0,0.0113573,cv,0.00545636
Construct,1048576.0,16.744,p90,15.1668
Construct,1048576.0,16.7713,p95,15.1827
Construct,1048576.0,16.7932,p99,15.1955
PushRandom,256.0,7850.78,mean,7251.61
PushRandom,256.0,7842.11,median,7253.22
PushRandom,256.0,46.3882,stddev,53.1248
PushRandom,256.0,0.00590874,cv,0.00732593
PushRandom,256.0,7916.38,p90,7305.84
PushRandom,256.0,7916.73,p95,7317.79
PushRandom,256.0,7917.0,p99,7327.35
PushRandom,512.0,17236.6,mean,16022.7
PushRandom,512.0,17213.6,median,16023.3
PushRandom,512.0,103.3,stddev,66.8197
PushRandom,512.0,0.00599306,cv,0.00417031
PushRandom,512.0,17355.7,p90,16111.4
PushRandom,512.0,17411.6,p95,16114.7
PushRandom,512.0,17456.3,p99,16117.3
PushRandom,1024.0,51974.5,mean,41014.8
PushRandom,1024.0,50732.4,median,40289.2
PushRandom,1024.0,3333.14,stddev,1757.36
PushRandom,1024.0,0.0641303,cv,0.042847
PushRandom,1024.0,56281.3,p90,43218.4
PushRandom,1024.0,56546.9,p95,44251.4
PushRandom,1024.0,56759.4,p99,45077.8
PushRandom,2048.0,156420.0,mean,105441.0
PushRandom,2048.0,171549.0,median,105428.0
PushRandom,2048.0,25608.9,stddev,793.348
PushRandom,2048.0,0.163719,cv,0.00752408
PushRandom,2048.0,173279.0,p90,106348.0
PushRandom,2048.0,174027.0,p95,106718.0
PushRandom,2048.0,174625.0,p99,107014.0
PushRandom,4096.0,484028.0,mean,454883.0
PushRandom,4096.0,483155.0,median,451271.0
PushRandom,4096.0,3237.57,stddev,7727.87
PushRandom,4096.0,0.00668881,cv,0.0169887
PushRandom,4096.0,487589.0,p90,465977.0
PushRandom,4096.0,489407.0,p95,467223.0
PushRandom,4096.0,490861.0,p99,468220.0
PushRandom,8192.0,1308360.0,mean,1171480.0
PushRandom,8192.0,1308330.0,median,1172330.0
PushRandom,8192.0,10098.7,stddev,6492.38
PushRandom,8192.0,0.00771856,cv,0.00554201
PushRandom,8192.0,1323070.0,p90,1177340.0
PushRandom,8192.0,1323390.0,p95,1179230.0
PushRandom,8192.0,1323650.0,p99,1180740.0
PushRandom,16384.0,3238780.0,mean,2936130.0
PushRandom,16384.0,3229140.0,median,2934780.0
PushRandom,16384.0,43496.5,stddev,16421.7
PushRandom,16384.0,0.0134299,cv,0.00559299
PushRandom,16384.0,3304690.0,p90,2952710.0
PushRandom,16384.0,3317260.0,p95,2961920.0
PushRandom,16384.0,3327320.0,p99,2969290.0
PushRandom,32768.0,7943830.0,mean,7263100.0
PushRandom,32768.0,7951460.0,median,7249200.0
PushRandom,32768.0,81034.1,stddev,47504.6
PushRandom,32768.0,0.0102009,cv,0.00654054
PushRandom,32768.0,8013040.0,p90,7291650.0
PushRandom,32768.0,8044560.0,p95,7337480.0
PushRandom,32768.0,8069780.0,p99,7374150.0
PushRandom,65536.0,19093800.0,mean,17900400.0
PushRandom,65536.0,19099800.0,median,17796500.0
PushRandom,65536.0,66905.7,stddev,313806.0
PushRandom,65536.0,0.00350405,cv,0.0175307
PushRandom,65536.0,19152300.0,p90,18136700.0
PushRandom,65536.0,19168700.0,p95,18429400.0
PushRandom,65536.0,19181800.0,p99,18663600.0
PushRandom,131072.0,49675800.0,mean,46879400.0
PushRandom,131072.0,49594800.0,median,46696400.0
PushRandom,131072.0,368985.0,stddev,809734.0
PushRandom,131072.0,0.00742787,cv,0.0172727
PushRandom,131072.0,50137400.0,p90,47520600.0
