op,size,cpu_time,cpu_time_2removedInsertRecursion,cpu_time_3ss,cpu_time_4withBubbleUp,cpu_time_5withoutBubbleUp
Construct,256.0,8.71207,8.50186,32.7892,7.89595,7.37875
Construct,1024.0,27.7701,25.9852,96.4296,25.57,26.1268
Construct,4096.0,27.5592,25.4348,83.3352,25.1175,25.3644
Construct,16384.0,17.8089,16.6161,61.2765,16.9486,17.1314
Construct,65536.0,16.6665,15.7416,59.4417,16.01,16.1366
Construct,262144.0,16.5934,15.6759,59.3694,16.0967,16.4526
Construct,1048576.0,16.6331,15.7708,59.4179,16.1248,16.1237
PushRandom,256.0,7372.9,9122.34,19488.3,7569.4,7593.99
PushRandom,512.0,18486.4,24714.6,72591.8,17930.7,17982.1
PushRandom,1024.0,42884.8,68733.6,227140.0,44249.7,52909.1
PushRandom,2048.0,106381.0,206115.0,598841.0,102390.0,139410.0
PushRandom,4096.0,503471.0,649284.0,1557550.0,442000.0,443184.0
PushRandom,8192.0,1299850.0,1754980.0,3970610.0,1123230.0,1136590.0
PushRandom,16384.0,3164040.0,4732390.0,9958250.0,2714260.0,2753730.0
PushRandom,32768.0,7888370.0,12891900.0,25633000.0,6269000.0,6374290.0
PushRandom,65536.0,19982200.0,34294500.0,65658900.0,14717700.0,14834000.0
PushRandom,131072.0,52338300.0,94158300.0,168954000.0,35391400.0,35848200.0
PushRandom,262144.0,135749000.0,251364000.0,439542000.0,85360300.0,87230600.0
PushRandom,524288.0,340333000.0,701230000.0,1136430000.0,205972000.0,207764000.0
PushRandom,1048576.0,940297000.0,1917020000.0,2970050000.0,507896000.0,512086000.0
PushSortedAsc,256.0,4903.52,9219.4,12066.0,4685.88,4618.26
PushSortedAsc,512.0,9757.42,24872.3,28303.3,9752.99,9658.58
PushSortedAsc,1024.0,21156.0,69209.3,79000.9,21088.0,21144.1
PushSortedAsc,2048.0,51103.8,208480.0,208908.0,47635.3,44445.7
PushSortedAsc,4096.0,110826.0,641304.0,503750.0,125098.0,99926.4
PushSortedAsc,8192.0,264473.0,1765160.0,1204020.0,309894.0,272183.0
PushSortedAsc,16384.0,733142.0,4666920.0,2792720.0,689476.0,667622.0
PushSortedAsc,32768.0,1738250.0,12809600.0,6619370.0,1520240.0,1530810.0
PushSortedAsc,65536.0,4068910.0,34193700.0,15558300.0,3311100.0,3329010.0
PushSortedAsc,131072.0,9239040.0,93280500.0,35716900.0,7282630.0,7120840.0
PushSortedAsc,262144.0,21726200.0,261372000.0,83434200.0,15767300.0,15801700.0
PushSortedAsc,524288.0,50392900.0,697607000.0,194852000.0,33880100.0,33573000.0
PushSortedAsc,1048576.0,121196000.0,1894440000.0,459572000.0,73821800.0,72658100.0
PushSortedDesc,256.0,12402.5,9164.73,40797.0,12910.6,12782.0
PushSortedDesc,512.0,32285.9,24523.0,133636.0,38333.2,34945.7
PushSortedDesc,1024.0,95563.0,73008.1,397492.0,105565.0,90891.7
PushSortedDesc,2048.0,279971.0,225875.0,1098650.0,285491.0,275336.0
PushSortedDesc,4096.0,810087.0,683213.0,3032710.0,756443.0,765015.0
PushSortedDesc,8192.0,2234320.0,1793210.0,8250050.0,1913170.0,1917620.0
PushSortedDesc,16384.0,5966940.0,4718150.0,22142100.0,4875260.0,4972060.0
PushSortedDesc,32768.0,16482900.0,12721600.0,61231700.0,12054400.0,11838200.0
PushSortedDesc,65536.0,47157800.0,34792700.0,166953000.0,29742200.0,29368200.0
PushSortedDesc,131072.0,123238000.0,93482100.0,451013000.0,74633300.0,73050200.0
PushSortedDesc,262144.0,347640000.0,252439000.0,1229030000.0,182298000.0,178797000.0
PushSortedDesc,524288.0,945042000.0,705601000.0,3329220000.0,440263000.0,438604000.0
PushSortedDesc,1048576.0,2540400000.0,1927410000.0,9058910000.0,1087180000.0,1080560000.0
Extract,256.0,7323.57,7158.9,30213.8,16463.8,10761.5
Extract,512.0,19125.3,19537.9,99644.2,39898.7,27985.7
Extract,1024.0,51242.7,55373.5,284609.0,138026.0,97024.1
Extract,2048.0,221798.0,151347.0,808444.0,427480.0,311848.0
Extract,4096.0,647795.0,427700.0,2259450.0,1090290.0,842032.0
Extract,8192.0,1771550.0,1227120.0,6547660.0,2740310.0,2126420.0
Extract,16384.0,4950660.0,3638860.0,18907900.0,6680060.0,5599200.0
Extract,32768.0,13977800.0,10319300.0,54304900.0,17139800.0,14892200.0
Extract,65536.0,40140500.0,29660100.0,153027000.0,44249800.0,39500000.0
Extract,131072.0,113843000.0,82509300.0,422077000.0,111221000.0,97933100.0
Extract,262144.0,315383000.0,255814000.0,1158520000.0,279376000.0,253643000.0
Extract,524288.0,901715000.0,737315000.0,3147980000.0,700829000.0,710161000.0
Extract,1048576.0,2552360000.0,2074950000.0,8508140000.0,1798700000.0,1752990000.0
Remove,,,,,12303.4,12379.7
Remove,,,,,58821.0,61678.4
Remove,,,,,254571.0,263401.0
Remove,,,,,991905.0,1030320.0
Remove,,,,,5353400.0,5395700.0
Remove,,,,,22852600.0,23334000.0
Remove,,,,,80994000.0,82232000.0
Remove,,,,,278191000.0,279736000.0
Remove,,,,,1178120000.0,1206030000.0
Remove,,,,,3979810000.0,4026700000.0
Remove,,,,,14976200000.0,15160000000.0
Remove,,,,,55487600000.0,
Remove,,,,,,
Search,256.0,1309.35,1538.52,454158.0,,
Search,512.0,2599.36,3790.97,2141630.0,,
Search,1024.0,4862.92,8136.7,10226700.0,,
Search,2048.0,13044.5,14899.6,50535500.0,,
Search,4096.0,30216.2,24269.9,187407000.0,,
Search,8192.0,76387.5,53252.5,802726000.0,,
Search,16384.0,175258.0,179944.0,3586010000.0,,
Search,32768.0,336067.0,289008.0,13912400000.0,,
Search,65536.0,708296.0,860752.0,60601200000.0,,
Search,131072.0,1282730.0,3079510.0,235116000000.0,,
Search,262144.0,2485650.0,6764860.0,955908000000.0,,
Search,524288.0,5516230.0,9909280.0,4014220000000.0,,
Search,1048576.0,6330710.0,29619500.0,,,
