op,size,cpu_time,cpu_time_2withoutBubbleUp,cpu_time_3withBubbleUp
Construct,256.0,8.11326,7.29043,7.34577
Construct,1024.0,26.4515,24.2901,24.2294
Construct,4096.0,25.9692,23.7071,23.9671
Construct,16384.0,17.4045,16.2866,15.8526
Construct,65536.0,16.4343,15.6424,15.2282
Construct,262144.0,16.5259,15.548,15.126
Construct,1048576.0,16.4362,15.3733,14.9701
PushRandom,256.0,66094.7,8953.87,8639.82
PushRandom,512.0,143620.0,18997.1,18111.5
PushRandom,1024.0,337854.0,46072.9,44055.5
PushRandom,2048.0,817976.0,146858.0,126686.0
PushRandom,4096.0,1886360.0,443218.0,433984.0
PushRandom,8192.0,4196980.0,984180.0,992644.0
PushRandom,16384.0,9077810.0,2184180.0,2202200.0
PushRandom,32768.0,19581600.0,4782080.0,4896290.0
PushRandom,65536.0,41498400.0,10366200.0,10548300.0
PushRandom,131072.0,87748700.0,22672700.0,22712800.0
PushRandom,262144.0,193129000.0,50843000.0,51898800.0
PushRandom,524288.0,405830000.0,109615000.0,111301000.0
PushRandom,1048576.0,874923000.0,242867000.0,248060000.0
PushSortedAsc,256.0,44090.0,5918.47,6047.23
PushSortedAsc,512.0,98105.5,12502.2,12590.1
PushSortedAsc,1024.0,201584.0,26575.3,27163.3
PushSortedAsc,2048.0,421999.0,57123.1,57686.0
PushSortedAsc,4096.0,867786.0,177330.0,174164.0
PushSortedAsc,8192.0,1791840.0,416665.0,419946.0
PushSortedAsc,16384.0,3717220.0,885632.0,892381.0
PushSortedAsc,32768.0,7650710.0,1815270.0,1851800.0
PushSortedAsc,65536.0,15481700.0,3774440.0,3793490.0
PushSortedAsc,131072.0,31371500.0,7688360.0,7833400.0
PushSortedAsc,262144.0,62722600.0,15972300.0,16159800.0
PushSortedAsc,524288.0,127587000.0,33005300.0,33636100.0
PushSortedAsc,1048576.0,257926000.0,68508900.0,69260200.0
PushSortedDesc,256.0,101573.0,13031.9,13015.0
PushSortedDesc,512.0,261337.0,31710.7,31821.2
PushSortedDesc,1024.0,696334.0,85348.9,84445.9
PushSortedDesc,2048.0,1758580.0,281367.0,285844.0
PushSortedDesc,4096.0,4327850.0,712750.0,719557.0
PushSortedDesc,8192.0,10320300.0,1789520.0,1774160.0
PushSortedDesc,16384.0,24447100.0,4318480.0,4255660.0
PushSortedDesc,32768.0,57013800.0,10603200.0,10159600.0
PushSortedDesc,65536.0,130815000.0,24935600.0,23421000.0
PushSortedDesc,131072.0,297744000.0,56324200.0,55244100.0
PushSortedDesc,262144.0,687351000.0,136385000.0,128618000.0
PushSortedDesc,524288.0,1548780000.0,293362000.0,292920000.0
PushSortedDesc,1048576.0,3534900000.0,680112000.0,682365000.0
Extract,256.0,118443.0,10198.8,17115.3
Extract,512.0,306111.0,25379.4,42443.0
Extract,1024.0,807232.0,67571.6,139106.0
Extract,2048.0,1986290.0,232172.0,372846.0
Extract,4096.0,4694630.0,604110.0,917672.0
Extract,8192.0,10916100.0,1497080.0,2190530.0
Extract,16384.0,25284800.0,3715650.0,5262260.0
Extract,32768.0,58492200.0,9276900.0,12620100.0
Extract,65536.0,134662000.0,23205300.0,30456500.0
Extract,131072.0,310732000.0,56203900.0,71224900.0
Extract,262144.0,708871000.0,137192000.0,168986000.0
Extract,524288.0,1619020000.0,324854000.0,392276000.0
Extract,1048576.0,3668870000.0,798360000.0,915030000.0
Remove,256.0,18142.7,20888.9,21012.4
Remove,512.0,88094.6,97325.1,95522.1
Remove,1024.0,382599.0,433374.0,435094.0
Remove,2048.0,1448790.0,1600510.0,1610960.0
Remove,4096.0,9679320.0,9937710.0,10105300.0
Remove,8192.0,31119200.0,29361200.0,29525300.0
Remove,16384.0,132333000.0,114569000.0,116378000.0
Remove,32768.0,719815000.0,610247000.0,621763000.0
Remove,65536.0,3306880000.0,2588270000.0,2629490000.0
Remove,131072.0,12812000000.0,9030580000.0,9153040000.0
Remove,262144.0,54723200000.0,38348900000.0,38471400000.0
Remove,524288.0,221809000000.0,135070000000.0,134912000000.0
Remove,1048576.0,841246000000.0,500997000000.0,506863000000.0
Search,256.0,16710.6,21439.8,20718.7
Search,512.0,91991.0,104332.0,101709.0
Search,1024.0,369539.0,464672.0,412244.0
Search,2048.0,1397300.0,1787330.0,1568050.0
Search,4096.0,9779850.0,10969800.0,10104900.0
Search,8192.0,31897900.0,32332900.0,31133100.0
Search,16384.0,137879000.0,129697000.0,124463000.0
Search,32768.0,743312000.0,643105000.0,626993000.0
Search,65536.0,3466440000.0,2815990000.0,2735940000.0
Search,131072.0,13133600000.0,9568160000.0,9356850000.0
Search,262144.0,55886400000.0,39639400000.0,39300400000.0
Search,524288.0,216057000000.0,138720000000.0,135634000000.0
Search,1048576.0,887444000000.0,529492000000.0,
