op,size,cpu_time,cpu_time_2removedInsertRecursion
Construct,256.0,8.40362,8.44122
Construct,1024.0,26.7034,26.374
Construct,4096.0,26.5658,26.4955
Construct,16384.0,17.0677,16.9248
Construct,65536.0,16.2739,16.244
Construct,262144.0,16.1291,15.9962
Construct,1048576.0,16.1025,16.2666
PushRandom,256.0,8428.19,8514.18
PushRandom,512.0,21067.4,23419.4
PushRandom,1024.0,52427.5,60044.4
PushRandom,2048.0,109757.0,183581.0
PushRandom,4096.0,395398.0,559588.0
PushRandom,8192.0,957819.0,1417440.0
PushRandom,16384.0,2186860.0,3508950.0
PushRandom,32768.0,4915830.0,8734020.0
PushRandom,65536.0,11258000.0,21287000.0
PushRandom,131072.0,25914500.0,52868900.0
PushRandom,262144.0,58326400.0,130509000.0
PushRandom,524288.0,130341000.0,311854000.0
PushRandom,1048576.0,303513000.0,777637000.0
PushSortedAsc,256.0,6659.34,8283.86
PushSortedAsc,512.0,14292.4,22530.9
PushSortedAsc,1024.0,30136.8,58589.8
PushSortedAsc,2048.0,71494.3,176005.0
PushSortedAsc,4096.0,184111.0,551934.0
PushSortedAsc,8192.0,457544.0,1420900.0
PushSortedAsc,16384.0,1035130.0,3641680.0
PushSortedAsc,32768.0,2267930.0,8832970.0
PushSortedAsc,65536.0,4952680.0,21732900.0
PushSortedAsc,131072.0,10594500.0,54205700.0
PushSortedAsc,262144.0,23005200.0,130943000.0
PushSortedAsc,524288.0,49123900.0,314788000.0
PushSortedAsc,1048576.0,105713000.0,781744000.0
PushSortedDesc,256.0,12067.9,8343.27
PushSortedDesc,512.0,33288.0,24323.1
PushSortedDesc,1024.0,83083.0,58680.2
PushSortedDesc,2048.0,251559.0,178208.0
PushSortedDesc,4096.0,716630.0,552996.0
PushSortedDesc,8192.0,1846060.0,1427710.0
PushSortedDesc,16384.0,4569130.0,3601840.0
PushSortedDesc,32768.0,11340000.0,8849400.0
PushSortedDesc,65536.0,27484200.0,21854800.0
PushSortedDesc,131072.0,67642600.0,54142900.0
PushSortedDesc,262144.0,164187000.0,131609000.0
PushSortedDesc,524288.0,398800000.0,317965000.0
PushSortedDesc,1048576.0,950886000.0,773734000.0
Extract,256.0,8065.21,7561.74
Extract,512.0,19944.6,18836.6
Extract,1024.0,64544.1,50994.5
Extract,2048.0,178032.0,130670.0
Extract,4096.0,471436.0,345121.0
Extract,8192.0,1218680.0,915239.0
Extract,16384.0,3099280.0,2407170.0
Extract,32768.0,8058970.0,6178220.0
Extract,65536.0,21445700.0,15853300.0
Extract,131072.0,54783300.0,40261000.0
Extract,262144.0,140677000.0,101362000.0
Extract,524288.0,370552000.0,255714000.0
Extract,1048576.0,891364000.0,652007000.0
Search,256.0,2075.16,3343.92
Search,512.0,4572.49,4923.06
Search,1024.0,8338.92,10258.8
Search,2048.0,28016.1,32769.2
Search,4096.0,68791.6,58786.3
Search,8192.0,137993.0,108956.0
Search,16384.0,284729.0,399040.0
Search,32768.0,597221.0,1036110.0
Search,65536.0,1259270.0,2216690.0
Search,131072.0,2216970.0,3709580.0
Search,262144.0,4193410.0,7070380.0
Search,524288.0,9831050.0,19530700.0
Search,1048576.0,12971000.0,43012300.0
