op,size,cpu_time,cpu_time_2
Construct,256.0,8.65162,29.4842
Construct,1024.0,24.4246,87.5867
Construct,4096.0,15.0396,58.1323
Construct,16384.0,15.1497,58.4861
Construct,65536.0,15.3885,59.663
Construct,262144.0,15.4258,59.8179
Construct,1048576.0,15.3558,59.641
PushRandom,256.0,2658.48,6932.3
PushRandom,512.0,7706.12,17322.3
PushRandom,1024.0,22289.2,45117.7
PushRandom,2048.0,66382.1,119825.0
PushRandom,4096.0,173354.0,315526.0
PushRandom,8192.0,495174.0,848034.0
PushRandom,16384.0,1421560.0,2393480.0
PushRandom,32768.0,3993370.0,6731830.0
PushRandom,65536.0,11858000.0,19248100.0
PushRandom,131072.0,34693600.0,64340200.0
PushRandom,262144.0,123790000.0,247190000.0
PushRandom,524288.0,418943000.0,973834000.0
PushRandom,1048576.0,1481120000.0,3354110000.0
PushSortedAsc,256.0,739.928,2631.86
PushSortedAsc,512.0,1483.67,3711.82
PushSortedAsc,1024.0,3024.35,5760.48
PushSortedAsc,2048.0,5982.18,9833.83
PushSortedAsc,4096.0,12066.8,17923.6
PushSortedAsc,8192.0,23828.1,33744.6
PushSortedAsc,16384.0,47711.5,66353.7
PushSortedAsc,32768.0,96677.6,129749.0
PushSortedAsc,65536.0,190730.0,254786.0
PushSortedAsc,131072.0,378068.0,498594.0
PushSortedAsc,262144.0,760931.0,995874.0
PushSortedAsc,524288.0,1503230.0,1987480.0
PushSortedAsc,1048576.0,3051780.0,4146330.0
PushSortedDesc,256.0,4750.07,12424.9
PushSortedDesc,512.0,13988.0,34413.9
PushSortedDesc,1024.0,44212.3,95814.6
PushSortedDesc,2048.0,132643.0,259631.0
PushSortedDesc,4096.0,371303.0,706730.0
PushSortedDesc,8192.0,1025260.0,1949430.0
PushSortedDesc,16384.0,2868260.0,5489970.0
PushSortedDesc,32768.0,8017630.0,15568400.0
PushSortedDesc,65536.0,23339100.0,46039900.0
PushSortedDesc,131072.0,81153100.0,172859000.0
PushSortedDesc,262144.0,289702000.0,610088000.0
PushSortedDesc,524288.0,996916000.0,2069530000.0
PushSortedDesc,1048576.0,3194100000.0,6441650000.0
Extract,256.0,4632.92,14681.6
Extract,512.0,11463.0,42418.7
Extract,1024.0,34707.5,118865.0
Extract,2048.0,171100.0,321214.0
Extract,4096.0,545497.0,894859.0
Extract,8192.0,1516640.0,2530830.0
Extract,16384.0,4497930.0,8590090.0
Extract,32768.0,13417000.0,30487300.0
Extract,65536.0,37816500.0,101865000.0
Extract,131072.0,109633000.0,341775000.0
Extract,262144.0,324596000.0,1114720000.0
Extract,524288.0,987874000.0,4231360000.0
Extract,1048576.0,2987310000.0,16681700000.0
Search,256.0,45.1281,4253.86
Search,1024.0,77.85,99249.7
Search,4096.0,203.976,878652.0
Search,16384.0,591.447,7229080.0
Search,65536.0,1298.95,58476700.0
Search,262144.0,2548.24,488357000.0
Search,1048576.0,4414.18,4236710000.0
Remove,256.0,16343.9,8441.16
Remove,1024.0,107673.0,115502.0
Remove,4096.0,751739.0,946698.0
Remove,16384.0,5820900.0,7929300.0
Remove,65536.0,46683700.0,68149700.0
Remove,262144.0,379694000.0,594089000.0
Remove,1048576.0,3041560000.0,5711610000.0
