op,size,cpu_time,cpu_time_2ss
Construct,256.0,8.71996,29.4868
Construct,1024.0,15.539,57.399
Construct,4096.0,15.5635,58.2148
Construct,16384.0,15.8156,58.3051
Construct,65536.0,16.0874,59.5431
Construct,262144.0,15.9886,59.5047
Construct,1048576.0,16.0748,59.5572
PushRandom,256.0,436.866,2451.96
PushRandom,512.0,986.717,3406.89
PushRandom,1024.0,2066.84,5659.75
PushRandom,2048.0,4603.46,19614.9
PushRandom,4096.0,8459.59,50223.1
PushRandom,8192.0,16920.9,109439.0
PushRandom,16384.0,35519.9,230296.0
PushRandom,32768.0,167362.0,461671.0
PushRandom,65536.0,454929.0,923704.0
PushRandom,131072.0,933293.0,1848910.0
PushRandom,262144.0,1906680.0,3712150.0
PushRandom,524288.0,3795910.0,7410080.0
PushRandom,1048576.0,7588660.0,14861200.0
PushSortedAsc,256.0,207.863,1950.32
PushSortedAsc,512.0,398.874,2359.14
PushSortedAsc,1024.0,783.019,3186.25
PushSortedAsc,2048.0,1523.43,4852.61
PushSortedAsc,4096.0,3049.34,8197.04
PushSortedAsc,8192.0,6071.09,14875.2
PushSortedAsc,16384.0,12024.7,28102.0
PushSortedAsc,32768.0,23919.6,54502.6
PushSortedAsc,65536.0,48862.3,107451.0
PushSortedAsc,131072.0,98244.4,213825.0
PushSortedAsc,262144.0,195465.0,426859.0
PushSortedAsc,524288.0,389934.0,852476.0
PushSortedAsc,1048576.0,782584.0,1736910.0
PushSortedDesc,256.0,718.994,3099.68
PushSortedDesc,512.0,1597.0,5014.76
PushSortedDesc,1024.0,3517.9,9279.87
PushSortedDesc,2048.0,7883.04,18542.4
PushSortedDesc,4096.0,18407.0,38573.3
PushSortedDesc,8192.0,39106.3,81669.5
PushSortedDesc,16384.0,82987.9,174216.0
PushSortedDesc,32768.0,178508.0,371687.0
PushSortedDesc,65536.0,401287.0,791456.0
PushSortedDesc,131072.0,894687.0,1685610.0
PushSortedDesc,262144.0,1961080.0,3575760.0
PushSortedDesc,524288.0,4602150.0,7567790.0
PushSortedDesc,1048576.0,11418500.0,15977700.0
Extract,256.0,2173.62,4713.1
Extract,512.0,4103.28,9030.91
Extract,1024.0,8648.08,20111.7
Extract,2048.0,16845.1,45461.2
Extract,4096.0,43093.6,88108.6
Extract,8192.0,86977.5,189275.0
Extract,16384.0,183587.0,451549.0
Extract,32768.0,451111.0,953381.0
Extract,65536.0,847583.0,2059080.0
Extract,131072.0,1925970.0,3758670.0
Extract,262144.0,3935630.0,8230220.0
Extract,524288.0,8464310.0,17008300.0
Extract,1048576.0,16553600.0,39845600.0
Search,256.0,67.8003,10841.7
Search,1024.0,234.545,150362.0
Search,4096.0,900.232,2284260.0
Search,16384.0,3576.5,36269400.0
Search,65536.0,13937.8,576850000.0
Search,262144.0,51968.8,9321920000.0
Search,1048576.0,148580.0,148546000000.0
