op,size,cpu_time2withoutBubbleUp,stat,cpu_time_3withBubbleUp,cpu_time_4withBubbleUp
Construct,256.0,8.52373,mean,8.31859,8.25083
Construct,256.0,8.31659,median,8.29257,8.23065
Construct,256.0,0.58645,stddev,8.20993,0.0572553
Construct,256.0,0.068802,cv,8.31009,0.00693933
Construct,256.0,9.0284,p90,8.33303,8.32003
Construct,256.0,9.49911,p95,8.20569,8.32653
Construct,256.0,9.87569,p99,8.17865,8.33173
Construct,1024.0,26.7273,mean,8.24524,27.2889
Construct,1024.0,26.6838,median,8.19848,27.0916
Construct,1024.0,0.508005,stddev,8.21607,0.661489
Construct,1024.0,0.019007,cv,8.25083,0.0242402
Construct,1024.0,27.2731,p90,8.23065,28.2494
Construct,1024.0,27.2905,p95,0.0572553,28.2577
Construct,1024.0,27.3044,p99,0.00693933,28.2644
Construct,4096.0,26.3874,mean,8.32003,26.6518
Construct,4096.0,27.248,median,8.32653,27.7128
Construct,4096.0,3.01933,stddev,8.33173,3.3898
Construct,4096.0,0.114423,cv,28.2475,0.127188
Construct,4096.0,27.9614,p90,28.2661,28.9631
Construct,4096.0,28.0071,p95,26.7272,28.9633
Construct,4096.0,28.0437,p99,26.7783,28.9634
Construct,16384.0,17.7909,mean,26.5183,17.4814
Construct,16384.0,17.7505,median,27.1272,17.4971
Construct,16384.0,0.171896,stddev,27.2027,0.0982997
Construct,16384.0,0.00966199,cv,27.0561,0.0056231
Construct,16384.0,18.0197,p90,26.8785,17.588
Construct,16384.0,18.0814,p95,28.0876,17.5985
Construct,16384.0,18.1307,p99,27.2889,17.607
Construct,65536.0,17.0828,mean,27.0916,17.0833
Construct,65536.0,16.8066,median,0.661489,17.1013
Construct,65536.0,0.59338,stddev,0.0242402,0.518255
Construct,65536.0,0.0347355,cv,28.2494,0.030337
Construct,65536.0,17.6874,p90,28.2577,17.6534
Construct,65536.0,18.113,p95,28.2644,17.7006
Construct,65536.0,18.4534,p99,28.1865,17.7384
Construct,262144.0,18.0669,mean,28.3013,17.9525
Construct,262144.0,17.9606,median,26.4977,17.9037
Construct,262144.0,0.294687,stddev,26.3764,0.219483
Construct,262144.0,0.0163109,cv,26.3828,0.0122258
Construct,262144.0,18.4055,p90,27.615,18.2313
Construct,262144.0,18.5294,p95,27.8105,18.3108
Construct,262144.0,18.6285,p99,28.9631,18.3743
Construct,1048576.0,17.5654,mean,28.9634,17.6652
Construct,1048576.0,17.4829,median,17.4207,17.6343
Construct,1048576.0,0.233407,stddev,26.6518,0.318998
Construct,1048576.0,0.0132878,cv,27.7128,0.018058
Construct,1048576.0,17.8626,p90,3.3898,18.0749
Construct,1048576.0,17.9101,p95,0.127188,18.1596
Construct,1048576.0,17.9481,p99,28.9631,18.2274
PushRandom,256.0,9634.6,mean,28.9633,10250.0
PushRandom,256.0,9601.31,median,28.9634,10210.1
PushRandom,256.0,138.613,stddev,17.3796,135.49
PushRandom,256.0,0.014387,cv,17.5726,0.0132185
PushRandom,256.0,9818.66,p90,17.4565,10373.6
PushRandom,256.0,9877.92,p95,17.5149,10458.9
PushRandom,256.0,9925.33,p99,17.5856,10527.1
PushRandom,512.0,21441.2,mean,17.4854,22703.3
PushRandom,512.0,20456.0,median,17.5087,22857.8
PushRandom,512.0,1446.42,stddev,17.3984,1155.0
PushRandom,512.0,0.0674597,cv,17.3033,0.0508736
PushRandom,512.0,23752.5,p90,17.6091,23830.6
PushRandom,512.0,23769.5,p95,17.4814,24079.0
PushRandom,512.0,23783.1,p99,17.4971,24277.6
PushRandom,1024.0,67524.9,mean,0.0982997,48802.8
PushRandom,1024.0,68833.9,median,0.0056231,48778.1
PushRandom,1024.0,3068.87,stddev,17.588,295.716
PushRandom,1024.0,0.0454479,cv,17.5985,0.0060594
PushRandom,1024.0,70479.4,p90,17.607,49099.9
PushRandom,1024.0,70660.8,p95,16.5847,49217.6
PushRandom,1024.0,70806.0,p99,16.7397,49311.7
PushRandom,2048.0,184304.0,mean,16.6677,185895.0
PushRandom,2048.0,189509.0,median,16.5993,197086.0
PushRandom,2048.0,10430.5,stddev,16.4277,19294.4
PushRandom,2048.0,0.0565939,cv,17.4753,0.103792
PushRandom,2048.0,190298.0,p90,17.463,198793.0
PushRandom,2048.0,190468.0,p95,17.7479,199264.0
PushRandom,2048.0,190604.0,p99,17.6429,199641.0
PushRandom,4096.0,477921.0,mean,17.4849,484085.0
PushRandom,4096.0,477748.0,median,17.0833,483573.0
PushRandom,4096.0,2354.13,stddev,17.1013,5400.18
PushRandom,4096.0,0.00492578,cv,0.518255,0.0111554
PushRandom,4096.0,480592.0,p90,0.030337,487553.0
PushRandom,4096.0,481061.0,p95,17.6534,492321.0
PushRandom,4096.0,481437.0,p99,17.7006,496136.0
PushRandom,8192.0,1099170.0,mean,17.7384,1127520.0
PushRandom,8192.0,1099770.0,median,17.7226,1125670.0
PushRandom,8192.0,9909.04,stddev,17.8258,21990.4
PushRandom,8192.0,0.00901505,cv,17.9816,0.0195034
PushRandom,8192.0,1103070.0,p90,18.3902,1152300.0
PushRandom,8192.0,1113540.0,p95,18.2137,1155520.0
PushRandom,8192.0,1121920.0,p99,18.0013,1158100.0
PushRandom,16384.0,2538840.0,mean,17.7993,2581400.0
PushRandom,16384.0,2540990.0,median,17.7684,2583830.0
PushRandom,16384.0,19546.7,stddev,17.7681,22338.4
PushRandom,16384.0,0.00769906,cv,18.0538,0.00865363
PushRandom,16384.0,2561960.0,p90,17.9525,2607990.0
PushRandom,16384.0,2564270.0,p95,17.9037,2609290.0
PushRandom,16384.0,2566110.0,p99,0.219483,2610320.0
PushRandom,32768.0,5631170.0,mean,0.0122258,5736440.0
PushRandom,32768.0,5631800.0,median,18.2313,5716730.0
PushRandom,32768.0,42610.7,stddev,18.3108,65380.0
PushRandom,32768.0,0.00756694,cv,18.3743,0.0113973
PushRandom,32768.0,5687930.0,p90,17.6122,5844840.0
PushRandom,32768.0,5693330.0,p95,17.3577,5844900.0
PushRandom,32768.0,5697650.0,p99,17.2498,5844950.0
PushRandom,65536.0,12329300.0,mean,17.3153,12444500.0
PushRandom,65536.0,12336100.0,median,18.2444,12456800.0
PushRandom,65536.0,126629.0,stddev,17.7308,172930.0
PushRandom,65536.0,0.0102706,cv,17.6008,0.0138961
PushRandom,65536.0,12489200.0,p90,18.0561,12654700.0
PushRandom,65536.0,12502100.0,p95,17.6564,12661000.0
PushRandom,65536.0,12512400.0,p99,17.8286,12666100.0
PushRandom,131072.0,25801700.0,mean,17.6652,26248700.0
PushRandom,131072.0,25862600.0,median,17.6343,26215200.0
PushRandom,131072.0,255333.0,stddev,0.318998,374671.0
PushRandom,131072.0,0.00989598,cv,0.018058,0.0142739
PushRandom,131072.0,26068000.0,p90,18.0749,26503900.0
PushRandom,131072.0,26088700.0,p95,18.1596,26783200.0
PushRandom,131072.0,26105200.0,p99,18.2274,27006500.0
PushRandom,262144.0,57870400.0,mean,10354.6,58445900.0
PushRandom,262144.0,57770300.0,median,10192.6,58526400.0
PushRandom,262144.0,359011.0,stddev,10198.9,431148.0
PushRandom,262144.0,0.0062037,cv,10544.2,0.00737687
PushRandom,262144.0,58427000.0,p90,10221.3,58894500.0
PushRandom,262144.0,58477700.0,p95,10041.1,58961300.0
PushRandom,262144.0,58518300.0,p99,10246.2,59014700.0
PushRandom,524288.0,125073000.0,mean,10194.3,125861000.0
PushRandom,524288.0,125115000.0,median,10168.9,126110000.0
PushRandom,524288.0,706504.0,stddev,10337.5,995275.0
PushRandom,524288.0,0.00564875,cv,10250.0,0.00790771
PushRandom,524288.0,125728000.0,p90,10210.1,126740000.0
PushRandom,524288.0,126112000.0,p95,135.49,127132000.0
PushRandom,524288.0,126418000.0,p99,0.0132185,127446000.0
PushRandom,1048576.0,276594000.0,mean,10373.6,277252000.0
PushRandom,1048576.0,276752000.0,median,10458.9,277330000.0
PushRandom,1048576.0,1980990.0,stddev,10527.1,1555410.0
PushRandom,1048576.0,0.00716211,cv,22861.5,0.0056101
