beap,heap
191,29
229,57
267,77
315,105
373,134
421,163
469,182
507,211
555,230
594,258
661,277
718,305
756,334
785,353
814,391
852,420
891,449
948,468
977,487
1015,516
1063,544
1111,563
1140,601
1197,630
1226,649
1245,687
1312,706
1360,725
1389,744
1408,773
1485,792
1513,821
1570,840
1599,869
1628,888
1675,907
1703,936
1761,956
1799,984
1837,1004
1866,1032
1923,1061
1970,1080
2009,1099
2037,1128
2075,1167
2104,1186
2142,1205
2190,1234
2238,1253
2257,1282
2295,1311
2343,1330
2382,1349
2410,1377
2439,1416
2477,1435
2505,1464
2572,1483
2601,1512
2648,1531
2686,1550
2744,1569
2772,1588
2819,1607
2877,1626
2915,1645
2953,1684
2981,1712
3029,1731
3067,1759
3124,1787
3162,1806
3210,1825
3267,1844
3306,1873
3325,1901
3363,1920
3411,1949
3449,1968
3516,1997
3545,2016
3573,2045
3602,2074
3679,2093
3746,2112
3774,2141
3821,2170
3869,2189
3917,2208
3945,2237
3974,2266
4022,2295
4070,2314
4108,2333
4156,2352
4184,2381
4223,2400
4280,2419
4347,2438
4376,2467
4405,2496
4424,2515
4462,2534
4491,2553
4529,2581
4557,2610
4586,2629
4624,2648
4653,2667
4682,2686
4749,2705
4826,2724
4864,2753
4902,2781
4931,2800
4988,2828
5016,2847
5055,2875
5083,2903
5122,2922
5150,2941
5207,2970
5255,2999
5284,3018
5332,3038
5399,3066
5418,3095
5485,3114
5523,3134
5570,3153
5627,3172
5675,3191
5714,3220
5752,3239
5791,3259
5848,3278
5944,3297
5963,3326
6021,3345
6068,3364
6134,3393
6200,3412
6266,3431
6371,3450
6447,3469
6476,3498
6534,3517
6562,3536
6582,3555
6620,3584
6649,3603
6678,3632
6707,3651
6774,3670
6802,3689
6878,3718
6916,3737
7003,3756
7031,3785
7060,3804
7098,3823
7126,3852
7184,3880
7222,3899
7308,3918
7385,3947
7413,3966
7451,3985
7470,4005
7499,4024
7528,4043
7566,4062
7614,4082
7662,4110
7710,4130
7738,4168
7804,4188
7870,4207
7936,4236
8002,4255
8030,4284
8059,4312
8088,4341
8117,4360
8155,4379
8184,4398
8232,4417
8260,4445
8288,4464
8327,4483
8394,4512
8441,4540
8479,4569
8546,4588
8642,4607
8728,4626
8776,4654
8843,4673
8890,4702
8985,4721
9004,4740
9043,4760
9091,4788
9167,4817
9206,4836
9253,4855
9291,4884
9320,4913
9377,4942
9415,4961
9444,4980
9491,5000
9519,5019
9548,5048
9634,5067
9692,5086
9720,5115
9835,5144
9873,5173
9959,5192
9997,5211
10083,5230
10112,5258
10141,5277
10188,5296
10216,5315
10264,5334
10303,5363
10379,5382
10408,5401
10447,5429
10475,5458
10532,5477
10599,5496
10666,5515
10685,5543
10714,5562
10771,5581
10848,5600
10877,5629
10972,5648
10991,5667
11058,5696
11115,5724
11143,5744
11220,5763
11277,5782
11344,5801
11383,5821
11440,5840
11507,5859
11546,5888
11584,5907
11613,5936
11651,5965
11727,5984
11804,6003
11851,6022
11898,6050
11965,6069
12012,6098
12079,6117
12108,6136
12194,6165
12280,6184
12328,6213
12395,6232
12423,6261
12489,6289
12546,6308
12594,6337
12632,6356
12661,6385
12690,6414
12719,6433
12747,6453
12843,6472
12871,6510
12948,6529
12977,6558
13044,6577
13120,6597
13187,6625
13263,6645
13302,6664
13378,6693
13474,6712
13541,6731
13560,6779
13665,6798
13723,6827
13761,6846
13790,6885
13838,6904
13895,6933
13972,6952
14039,6981
14077,7000
14125,7019
14144,7047
14192,7066
14259,7085
14287,7104
14401,7123
14440,7142
14507,7161
14574,7180
14593,7228
14650,7247
14717,7266
14765,7295
14804,7324
14918,7353
14957,7381
15024,7410
15101,7420
15177,7449
15215,7468
15253,7497
15311,7516
15349,7535
15387,7564
15415,7602
15444,7621
15473,7640
15511,7659
15540,7688
15617,7707
15645,7736
15674,7764
15770,7783
15827,7811
15885,7830
15980,7849
16008,7878
16142,7897
16171,7926
16219,7945
16295,7964
16334,7983
16391,8002
16496,8021
16544,8050
16583,8069
16611,8088
16687,8107
16735,8136
16773,8155
16840,8175
16888,8194
16916,8223
16955,8242
17022,8261
17070,8280
17118,8299
17137,8327
17175,8347
17290,8366
17347,8395
17433,8414
17471,8433
17576,8462
17672,8481
17701,8500
17758,8519
17787,8547
17825,8566
17911,8585
17997,8604
18036,8633
18112,8652
18140,8681
18168,8719
18216,8738
18274,8758
18312,8786
18350,8806
18407,8815
18436,8863
18484,8882
18513,8901
18561,8930
18628,8949
18666,8987
18714,9016
18752,9035
18838,9055
18924,9074
19001,9103
19077,9122
19125,9151
19154,9180
19182,9199
19211,9237
19240,9266
19269,9294
19326,9313
19364,9341
19383,9369
19431,9388
19469,9416
19545,9435
19574,9473
19650,9492
19679,9511
19708,9530
19756,9549
19785,9577
19823,9596
19919,9625
19986,9644
20072,9663
20101,9691
20139,9710
20168,9738
20330,9757
20407,9776
20502,9804
20578,9823
20645,9842
20712,9871
20750,9900
20807,9919
20845,9938
20874,9977
20970,9996
21046,10015
21085,10044
21171,10063
21238,10082
21277,10110
21315,10129
21372,10148
21401,10176
21439,10195
21477,10214
21515,10243
21544,10271
21582,10290
21621,10309
21707,10338
21755,10357
21803,10376
21917,10395
21965,10424
22023,10434
22051,10463
22127,10482
22213,10501
22280,10530
22318,10549
22347,10587
22376,10634
22452,10654
22499,10682
22527,10702
22556,10730
22613,10750
22679,10769
22708,10798
22765,10817
22813,10846
22842,10865
22861,10884
22890,10903
22938,10923
22967,10951
23063,10971
23130,10999
23168,11028
23234,11047
23310,11066
23348,11095
23500,11114
23538,11133
23576,11161
23720,11180
23815,11199
23834,11237
23862,11276
23929,11295
23958,11324
24054,11352
24083,11371
24121,11390
24197,11409
24235,11438
24360,11457
24388,11476
24408,11515
24465,11534
24532,11563
24579,11582
24607,11611
24636,11640
24665,11678
24694,11707
24741,11735
24827,11764
24903,11792
24980,11812
25037,11831
25132,11850
25161,11879
25238,11898
25324,11927
25381,11946
25458,11975
25515,12004
25563,12023
25611,12042
25630,12080
25668,12109
25706,12137
25735,12175
25802,12194
25926,12214
26040,12233
26136,12252
26193,12281
26222,12300
26251,12338
26318,12357
26404,12376
26461,12395
26509,12414
26547,12434
26576,12462
26633,12491
26680,12510
26719,12539
26767,12558
26872,12578
26920,12597
26968,12616
27035,12635
27083,12655
27159,12674
27245,12693
27273,12722
27330,12741
27368,12760
27445,12779
27474,12807
27522,12826
27550,12845
27684,12864
27761,12883
27933,12902
27981,12931
28029,12950
28057,12979
28162,12998
28210,13027
28315,13046
28344,13075
28392,13094
28421,13113
28497,13132
28526,13161
28555,13189
28612,13208
28708,13227
28765,13256
28832,13275
28918,13294
28975,13313
29022,13342
29061,13370
29156,13399
29242,13418
29309,13447
29414,13466
29462,13485
29490,13523
29566,13542
29604,13570
29662,13589
29700,13608
29844,13637
29958,13656
30101,13675
30254,13694
30283,13714
30350,13733
30417,13752
30474,13771
30599,13790
30675,13809
30723,13828
30742,13857
30771,13876
30828,13895
30885,13914
30914,13952
30972,13971
31019,14000
31105,14019
31143,14048
31258,14067
31344,14086
31401,14105
31478,14133
31535,14152
31593,14171
31650,14190
31775,14209
31823,14228
31937,14257
31957,14286
31985,14305
32071,14334
32118,14353
32195,14372
32329,14391
32367,14419
32453,14438
32539,14457
32596,14476
32653,14505
32682,14524
32787,14552
32883,14572
32969,14591
33046,14610
33075,14639
33151,14658
33189,14677
33218,14696
33246,14715
33293,14744
33360,14763
33446,14782
33551,14801
33580,14840
33675,14859
33742,14878
33837,14897
33923,14916
33980,14944
34114,14963
34162,14991
34248,15010
34287,15039
34315,15067
34420,15086
34468,15105
34496,15134
34563,15163
34611,15182
34669,15211
34745,15230
34821,15249
34869,15268
34917,15287
34984,15306
35118,15325
35214,15345
35262,15373
35329,15393
35396,15412
35424,15431
35490,15460
35585,15479
35623,15498
35689,15517
35765,15536
35861,15555
35928,15574
36014,15593
36081,15621
36110,15650
36129,15688
36186,15717
36292,15736
36378,15755
36521,15784
36646,15803
36684,15822
36761,15850
36799,15878
36876,15897
36981,15925
37105,15944
37162,15973
37229,15992
37277,16021
37363,16040
37507,16059
37545,16078
37574,16106
37622,16125
37651,16163
37765,16182
37851,16201
37908,16229
38013,16248
38052,16267
38071,16286
38109,16305
38147,16334
38175,16353
38223,16382
38252,16401
38300,16421
38376,16449
38423,16478
38529,16506
38558,16534
38606,16563
38634,16582
38767,16601
38815,16620
38882,16648
38949,16667
38969,16686
39026,16705
39074,16734
39141,16753
39247,16782
39314,16801
39352,16830
39486,16859
39553,16888
39591,16917
39649,16936
39677,16955
39705,16994
39772,17013
39867,17032
39896,17061
39934,17090
39972,17109
40001,17138
40077,17157
40154,17185
40221,17204
40288,17223
40346,17242
40403,17261
40451,17290
40528,17309
40623,17328
40681,17347
40719,17366
40757,17395
40823,17415
40918,17443
40956,17463
41032,17492
