beap,heap
334,48
487,96
640,154
745,201
984,248
1213,287
1375,315
1528,362
1681,410
1825,449
2064,487
2245,525
2370,573
2494,611
2704,659
2896,707
3039,755
3211,783
3441,821
3594,878
3699,926
3862,984
4005,1032
4158,1070
4340,1108
4531,1175
4655,1213
4799,1251
4990,1290
5200,1328
5381,1385
5477,1432
5611,1471
5706,1509
5830,1538
5954,1586
6212,1634
6403,1672
6527,1710
6641,1749
6765,1797
6908,1825
7013,1873
7156,1912
7290,1950
7433,1988
7596,2027
7720,2075
7883,2113
8093,2161
8236,2218
8351,2256
8456,2304
8571,2352
8743,2400
8839,2438
8964,2476
9164,2515
9345,2553
9508,2591
9699,2630
9852,2678
10034,2716
10244,2773
10464,2821
10588,2859
10808,2907
11009,2955
11200,2993
11315,3031
11525,3078
11687,3117
11869,3165
12050,3223
12231,3261
12403,3299
12575,3347
12699,3385
12871,3432
13062,3480
13215,3528
13387,3586
13540,3633
13731,3671
13922,3709
14104,3748
14276,3805
14362,3862
14544,3890
14678,3948
14888,3986
15089,4043
15271,4090
15424,4138
15586,4177
15758,4205
15978,4252
16198,4300
16370,4339
16504,4377
16676,4434
16858,4463
17020,4501
17173,4548
17307,4577
17479,4625
17603,4663
17747,4701
17909,4740
18072,4787
18282,4825
18397,4882
18521,4920
18665,4958
18779,4997
18922,5035
19123,5073
19228,5131
19391,5169
19572,5217
19754,5275
19945,5322
20060,5360
20251,5398
20394,5446
20499,5494
20709,5532
20843,5580
21034,5627
21187,5655
21311,5703
21522,5741
21646,5788
21761,5855
21943,5884
22124,5932
22239,5970
22421,5999
22583,6037
22708,6085
22870,6123
23052,6162
23224,6209
23329,6247
23425,6304
23502,6352
23674,6400
23827,6438
24037,6485
24181,6524
24315,6572
24506,6620
24697,6668
24802,6706
24897,6735
25060,6773
25184,6802
25309,6840
25500,6879
25663,6927
25835,6965
25969,7003
26112,7023
26265,7070
26466,7108
26600,7146
26781,7204
26905,7242
27048,7290
27201,7329
27354,7376
27517,7433
27670,7471
27794,7519
27909,7557
28119,7605
28243,7653
28339,7701
28473,7758
28674,7806
28846,7863
28971,7920
29105,7959
29277,8007
29449,8045
29554,8093
29726,8151
29860,8199
30004,8237
30185,8285
30357,8333
30530,8371
30692,8409
30826,8447
31017,8485
31132,8533
31276,8580
31448,8628
31620,8657
31802,8705
31984,8743
32137,8791
32251,8829
32403,8876
32575,8924
32728,8963
32890,9010
33043,9048
33196,9096
33359,9134
33579,9172
33760,9229
33932,9277
34114,9325
34295,9363
34400,9410
34591,9449
34801,9487
34954,9535
35040,9573
35135,9621
35288,9669
35441,9707
35585,9745
35738,9803
35852,9851
36024,9898
36158,9936
36282,9974
36454,10022
36578,10069
36760,10117
36932,10165
37113,10204
37295,10242
37467,10299
37629,10338
37810,10386
37916,10424
38088,10481
38260,10529
38432,10568
38575,10615
38708,10662
38803,10710
38956,10749
39138,10797
39339,10835
39492,10883
39664,10931
39750,10979
39912,11027
40064,11084
40264,11123
40398,11161
40570,11218
40733,11266
40915,11304
41125,11352
41258,11400
41421,11429
41594,11458
41680,11496
41823,11544
41947,11592
42099,11630
42194,11678
42290,11726
42453,11783
42539,11831
42625,11888
42721,11926
42836,11964
42979,12002
43056,12050
43161,12088
43295,12127
43467,12175
43601,12213
43783,12261
43926,12299
44079,12337
44165,12394
44290,12451
44500,12490
44643,12538
44835,12585
44988,12632
45150,12680
45322,12718
45475,12756
45647,12785
45810,12814
45991,12862
46144,12900
46326,12939
46508,12986
46622,13024
46765,13062
46841,13110
47003,13148
47185,13187
47261,13244
47347,13292
47499,13330
47671,13388
47862,13417
47986,13465
48082,13503
48264,13541
48398,13580
48560,13618
48761,13647
48914,13704
49057,13742
49238,13789
49420,13837
49563,13885
49735,13943
49916,13981
50060,14038
50203,14076
50299,14124
50461,14181
50624,14229
50710,14267
50863,14315
50997,14363
51112,14392
51275,14440
51485,14498
51638,14536
51762,14583
51943,14621
52096,14669
52230,14707
52393,14755
52536,14803
52699,14851
52880,14879
53024,14907
53148,14955
53273,14993
53426,15021
53588,15069
53741,15107
53941,15136
54113,15184
54276,15232
54400,15260
54524,15299
54667,15347
54772,15394
54858,15451
55020,15499
55154,15547
55249,15585
55392,15633
55507,15671
55689,15710
55833,15758
55947,15787
56119,15825
56224,15872
56405,15919
56511,15967
56673,16006
56836,16044
56970,16092
57084,16121
57256,16169
57418,16207
57590,16246
57753,16284
57935,16332
58069,16380
58164,16418
58308,16466
58432,16513
58499,16561
58662,16599
58796,16637
58929,16695
59043,16734
59129,16782
59292,16820
59435,16868
59578,16906
59674,16954
59836,17011
59932,17049
60066,17088
60190,17126
60276,17155
60391,17203
60506,17251
60640,17279
60745,17327
60888,17366
61003,17413
61185,17460
61319,17499
61453,17547
61548,17594
61634,17651
61758,17699
61873,17737
61950,17785
62103,17814
62256,17862
62370,17919
62551,17958
62704,17996
62867,18044
63048,18082
63153,18120
63335,18158
63478,18196
63564,18234
63707,18281
63831,18328
63946,18376
64032,18415
64204,18462
64376,18509
64548,18548
64710,18586
64815,18634
64891,18663
65024,18711
65168,18749
65311,18806
65473,18853
65626,18892
65770,18930
65904,18977
66076,19016
66229,19054
66334,19092
66458,19131
66572,19159
66754,19197
66878,19245
67003,19293
67117,19331
67231,19379
67365,19417
67442,19465
67614,19503
67777,19541
67920,19589
68045,19637
68160,19666
68274,19695
68380,19733
68542,19762
68628,19810
68781,19848
68924,19886
69049,19944
69154,19992
69317,20030
69470,20068
69604,20097
69757,20135
69843,20182
70015,20221
70168,20269
70292,20297
70445,20336
70570,20374
70665,20422
70856,20469
70942,20517
71057,20556
71162,20603
71287,20641
71392,20679
71468,20737
71592,20794
71707,20832
71821,20880
71974,20918
72108,20956
72252,20994
72395,21042
72539,21080
72644,21109
72730,21147
72874,21195
73036,21243
73170,21272
73275,21329
73409,21367
73581,21414
73753,21443
73839,21491
73944,21539
74049,21587
74145,21645
74279,21693
74441,21741
74575,21788
74728,21835
74881,21864
75024,21902
75196,21940
75340,21978
75464,22017
75569,22055
75713,22094
75866,22142
76009,22180
76076,22219
76220,22257
76325,22304
76459,22343
76555,22381
76631,22429
76765,22477
76899,22525
76995,22573
77100,22611
77205,22649
77319,22697
77415,22745
77549,22774
77625,22812
77720,22851
77873,22898
77978,22945
78083,22993
78255,23041
78370,23089
78466,23127
78628,23165
78743,23204
78839,23242
78954,23290
79068,23338
79212,23386
79355,23433
79470,23471
79614,23519
79747,23576
79890,23614
80014,23661
80139,23708
80253,23756
80377,23804
80453,23851
80520,23898
80645,23937
80740,23975
80845,24032
80940,24070
81084,24109
81208,24156
81304,24194
81428,24242
81553,24290
81706,24338
81792,24366
81878,24405
82002,24433
82098,24471
82242,24519
82337,24567
82423,24614
82547,24671
82662,24719
82824,24767
82901,24806
82968,24844
83102,24882
83188,24921
83322,24959
83446,24997
83561,25036
83685,25083
83800,25121
83962,25169
84039,25197
84154,25244
84259,25291
84364,25349
84507,25397
84621,25445
84707,25483
84812,25531
84898,25579
85079,25637
85184,25684
85337,25712
85462,25760
85576,25799
85719,25837
85796,25856
85911,25904
86044,25933
86120,25962
86254,25990
86388,26029
86494,26067
86627,26105
86751,26144
86808,26182
86885,26220
86971,26259
87047,26297
87143,26326
87229,26365
87363,26403
87449,26451
87554,26489
87650,26528
87745,26575
87888,26622
88022,26661
88108,26699
88242,26747
88309,26776
88376,26814
88443,26862
88529,26909
88615,26938
88749,26985
88807,27042
88960,27071
89093,27109
89159,27157
89254,27195
89388,27243
89512,27301
89645,27329
89731,27368
89845,27416
89951,27454
90075,27492
90151,27540
90294,27579
90428,27617
90533,27655
90648,27694
90753,27741
90877,27798
90991,27837
91096,27885
91239,27933
91383,27971
91526,28019
91632,28067
91737,28105
91823,28152
91966,28200
92080,28248
92214,28286
92329,28324
92386,28362
92492,28420
92626,28458
92702,28505
92750,28544
92874,28582
92989,28630
93065,28659
93151,28697
93237,28745
93303,28774
93369,28812
93483,28860
93569,28898
93655,28937
93760,28965
93856,29003
93990,29051
94095,29089
94200,29127
94277,29165
94334,29203
94459,29251
94573,29299
94687,29337
94821,29375
94926,29423
95031,29471
95117,29509
95222,29547
95355,29576
95489,29633
95594,29671
95727,29700
95861,29748
95957,29786
96053,29815
96187,29853
96282,29900
96397,29939
96521,29987
96645,30034
96693,30081
96817,30119
96941,30167
97027,30205
97141,30252
97256,30290
97380,30328
97523,30366
97590,30414
97666,30452
97723,30500
97828,30548
97895,30586
98020,30634
98125,30663
98192,30702
98317,30740
98441,30788
98556,30826
98651,30855
98775,30893
98870,30922
98975,30960
99061,30988
99166,31036
99252,31065
99319,31113
99386,31161
99463,31209
99577,31257
99701,31295
99758,31334
99883,31372
100007,31420
100103,31468
100189,31507
100284,31545
100398,31583
100494,31612
100551,31660
100627,31698
100684,31737
100780,31785
100885,31823
100981,31871
101058,31910
101125,31957
101220,31985
101325,32024
101411,32062
101516,32100
101592,32139
101659,32177
101754,32215
101821,32263
101907,32301
101965,32349
102070,32378
102137,32426
102213,32473
102308,32521
102423,32560
102480,32598
102585,32636
102662,32675
102710,32703
102805,32750
102891,32798
103006,32836
103111,32884
103187,32913
103292,32961
103387,32999
103493,33047
103579,33085
103694,33133
103761,33171
103818,33219
103895,33248
103981,33286
104086,33324
104191,33353
104296,33391
104362,33439
104457,33487
104524,33525
104610,33563
104725,33592
104773,33621
104869,33659
104964,33688
105050,33736
105145,33765
105241,33803
105346,33841
105432,33879
105490,33918
105566,33956
105624,33994
105691,34042
105777,34080
105834,34108
105892,34156
105968,34194
106054,34232
106140,34270
106216,34318
106302,34347
106369,34404
106484,34424
106637,34462
106742,34500
106848,34529
106895,34567
106961,34605
107075,34634
107152,34682
107209,34720
107276,34768
107353,34806
107449,34844
107535,34883
107602,34911
107697,34950
107774,34988
107850,35017
107945,35055
108031,35093
108098,35140
108156,35188
108242,35226
108318,35254
108394,35293
108509,35350
108576,35378
108633,35417
108710,35455
108767,35503
108863,35532
108968,35560
109054,35598
109121,35627
109207,35665
109255,35703
109379,35722
109446,35760
109561,35798
109647,35846
109714,35884
109761,35922
109818,35951
109904,35989
109971,36037
110048,36085
110115,36123
110163,36152
110230,36191
110316,36229
110374,36268
110470,36306
110556,36354
110623,36392
110709,36431
110804,36459
110862,36497
110948,36526
111024,36564
111110,36602
111205,36640
111282,36678
111377,36698
111444,36726
111501,36755
111587,36793
111673,36821
111768,36860
111826,36898
111902,36927
111998,36965
112103,36994
112170,37032
112247,37061
112285,37099
112352,37119
112410,37157
112467,37186
112544,37224
112611,37262
112678,37301
112735,37329
112773,37376
112850,37404
112898,37443
112994,37481
113051,37520
113147,37548
113214,37586
113271,37624
113348,37662
113424,37700
113491,37729
113558,37767
113616,37815
113683,37853
113769,37872
113855,37910
113921,37929
114007,37967
114102,38006
114179,38044
114227,38082
114342,38121
114399,38149
114456,38187
114513,38225
114599,38263
114646,38292
114704,38340
114752,38378
114838,38416
114905,38454
114981,38492
115019,38520
115076,38559
115134,38587
115182,38626
115277,38654
115335,38673
115393,38701
115479,38729
115546,38768
115613,38806
115671,38844
115738,38873
115795,38902
115862,38931
115939,38969
115996,39007
116054,39046
116111,39084
116178,39122
116245,39161
116312,39199
116379,39228
116436,39257
116484,39286
116532,39314
116580,39342
116637,39371
116685,39419
116732,39457
116779,39505
116827,39534
116875,39582
116952,39601
117000,39639
117057,39668
117114,39715
117162,39743
117219,39782
117258,39810
117296,39839
117344,39867
117411,39906
117468,39935
117516,39983
117555,40021
117593,40050
117651,40079
117680,40108
117718,40146
117766,40175
117804,40203
117843,40232
117881,40260
117919,40288
117958,40317
118005,40346
118043,40375
118072,40413
118129,40451
118167,40480
118206,40508
118245,40537
118283,40566
118321,40604
118359,40633
118397,40662
118445,40681
118512,40710
118540,40729
118578,40758
118607,40777
118654,40815
118692,40835
118730,40863
118769,40882
118788,40901
118817,40920
118845,40939
