name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_Construct",8877728,151.731,85.0133,ns,,,,,
"BM_Construct",8877728,109.152,80.4464,ns,,,,,
"BM_Construct",8877728,70.5258,68.1769,ns,,,,,
"BM_Construct",8877728,66.2576,65.8924,ns,,,,,
"BM_Construct",8877728,68.0409,66.5042,ns,,,,,
"BM_Construct_mean",5,93.1414,73.2066,ns,,,,,
"BM_Construct_median",5,70.5258,68.1769,ns,,,,,
"BM_Construct_stddev",5,37.2603,8.88158,ns,,,,,
"BM_Construct_cv",5,0.40004,0.121322,,,,,,
"BM_PushRandom/1000",9967,102499,77014.1,ns,,,,,
"BM_PushRandom/1000",9967,87929.4,74789.7,ns,,,,,
"BM_PushRandom/1000",9967,123966,73037.7,ns,,,,,
"BM_PushRandom/1000",9967,88682.5,74086.5,ns,,,,,
"BM_PushRandom/1000",9967,74007.3,70284.5,ns,,,,,
"BM_PushRandom/1000_mean",5,95416.9,73842.5,ns,,,,,
"BM_PushRandom/1000_median",5,88682.5,74086.5,ns,,,,,
"BM_PushRandom/1000_stddev",5,18874.6,2465.91,ns,,,,,
"BM_PushRandom/1000_cv",5,0.197812,0.0333942,,,,,,
"BM_PushRandom/5000",1127,610297,608358,ns,,,,,
"BM_PushRandom/5000",1127,623374,621525,ns,,,,,
"BM_PushRandom/5000",1127,622226,617625,ns,,,,,
"BM_PushRandom/5000",1127,658205,635655,ns,,,,,
"BM_PushRandom/5000",1127,812129,677185,ns,,,,,
"BM_PushRandom/5000_mean",5,665246,632070,ns,,,,,
"BM_PushRandom/5000_median",5,623374,621525,ns,,,,,
"BM_PushRandom/5000_stddev",5,84035.1,27066.5,ns,,,,,
"BM_PushRandom/5000_cv",5,0.126322,0.0428221,,,,,,
"BM_PushRandom/10000",421,1.70803e+06,1.66781e+06,ns,,,,,
"BM_PushRandom/10000",421,1.89875e+06,1.7134e+06,ns,,,,,
"BM_PushRandom/10000",421,1.78221e+06,1.73156e+06,ns,,,,,
"BM_PushRandom/10000",421,1.65174e+06,1.6484e+06,ns,,,,,
"BM_PushRandom/10000",421,1.63653e+06,1.6341e+06,ns,,,,,
"BM_PushRandom/10000_mean",5,1.73545e+06,1.67906e+06,ns,,,,,
"BM_PushRandom/10000_median",5,1.70803e+06,1.66781e+06,ns,,,,,
"BM_PushRandom/10000_stddev",5,107704,41903,ns,,,,,
"BM_PushRandom/10000_cv",5,0.062061,0.0249563,,,,,,
"BM_PushSortedAsc/1000",74165,9361.34,9346.34,ns,,,,,
"BM_PushSortedAsc/1000",74165,9361.11,9347.98,ns,,,,,
"BM_PushSortedAsc/1000",74165,9882.08,9825.66,ns,,,,,
"BM_PushSortedAsc/1000",74165,12049.6,11146.9,ns,,,,,
"BM_PushSortedAsc/1000",74165,11086,10522.6,ns,,,,,
"BM_PushSortedAsc/1000_mean",5,10348,10037.9,ns,,,,,
"BM_PushSortedAsc/1000_median",5,9882.08,9825.66,ns,,,,,
"BM_PushSortedAsc/1000_stddev",5,1183.68,784.853,ns,,,,,
"BM_PushSortedAsc/1000_cv",5,0.114388,0.0781892,,,,,,
"BM_PushSortedAsc/5000",15247,38275.3,37116.2,ns,,,,,
"BM_PushSortedAsc/5000",15247,36142.3,36008.4,ns,,,,,
"BM_PushSortedAsc/5000",15247,36008.1,35955.9,ns,,,,,
"BM_PushSortedAsc/5000",15247,35780.9,35756.5,ns,,,,,
"BM_PushSortedAsc/5000",15247,36018.3,35944.4,ns,,,,,
"BM_PushSortedAsc/5000_mean",5,36445,36156.3,ns,,,,,
"BM_PushSortedAsc/5000_median",5,36018.3,35955.9,ns,,,,,
"BM_PushSortedAsc/5000_stddev",5,1031.44,544.985,ns,,,,,
"BM_PushSortedAsc/5000_cv",5,0.0283012,0.015073,,,,,,
"BM_PushSortedAsc/10000",10177,71489.4,70840,ns,,,,,
"BM_PushSortedAsc/10000",10177,69779.3,69488.5,ns,,,,,
"BM_PushSortedAsc/10000",10177,70802.3,70214.5,ns,,,,,
"BM_PushSortedAsc/10000",10177,69156.7,69026,ns,,,,,
"BM_PushSortedAsc/10000",10177,69180.7,69029.1,ns,,,,,
"BM_PushSortedAsc/10000_mean",5,70081.7,69719.6,ns,,,,,
"BM_PushSortedAsc/10000_median",5,69779.3,69488.5,ns,,,,,
"BM_PushSortedAsc/10000_stddev",5,1031.97,792.395,ns,,,,,
"BM_PushSortedAsc/10000_cv",5,0.0147252,0.0113655,,,,,,
"BM_PushSortedDesc/1000",6932,89379.9,88578.5,ns,,,,,
"BM_PushSortedDesc/1000",6932,89072.4,88310.7,ns,,,,,
"BM_PushSortedDesc/1000",6932,90854.3,89669.5,ns,,,,,
"BM_PushSortedDesc/1000",6932,87524.9,87191.9,ns,,,,,
"BM_PushSortedDesc/1000",6932,90504.2,89412,ns,,,,,
"BM_PushSortedDesc/1000_mean",5,89467.1,88632.5,ns,,,,,
"BM_PushSortedDesc/1000_median",5,89379.9,88578.5,ns,,,,,
"BM_PushSortedDesc/1000_stddev",5,1316.77,982.966,ns,,,,,
"BM_PushSortedDesc/1000_cv",5,0.014718,0.0110904,,,,,,
"BM_PushSortedDesc/5000",834,874684,863715,ns,,,,,
"BM_PushSortedDesc/5000",834,848260,842651,ns,,,,,
"BM_PushSortedDesc/5000",834,878579,870064,ns,,,,,
"BM_PushSortedDesc/5000",834,841461,839863,ns,,,,,
"BM_PushSortedDesc/5000",834,838354,833831,ns,,,,,
"BM_PushSortedDesc/5000_mean",5,856268,850025,ns,,,,,
"BM_PushSortedDesc/5000_median",5,848260,842651,ns,,,,,
"BM_PushSortedDesc/5000_stddev",5,18981.8,15881.1,ns,,,,,
"BM_PushSortedDesc/5000_cv",5,0.022168,0.0186831,,,,,,
"BM_PushSortedDesc/10000",309,2.45251e+06,2.41102e+06,ns,,,,,
"BM_PushSortedDesc/10000",309,2.5248e+06,2.47861e+06,ns,,,,,
"BM_PushSortedDesc/10000",309,2.32943e+06,2.31381e+06,ns,,,,,
"BM_PushSortedDesc/10000",309,2.27366e+06,2.26901e+06,ns,,,,,
"BM_PushSortedDesc/10000",309,2.28486e+06,2.27744e+06,ns,,,,,
"BM_PushSortedDesc/10000_mean",5,2.37305e+06,2.34998e+06,ns,,,,,
"BM_PushSortedDesc/10000_median",5,2.32943e+06,2.31381e+06,ns,,,,,
